no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,p-n,AET,R
element_2576,2028,272.2554382,4.702225386,237.8645581,949.032073,820.7863048,14.93108347,0.952793239,733.7078917,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.0965319,630.6393658,318.3927072
element_2576,2029,272.2628267,4.761815932,237.4360235,1050.64082,847.8479476,15.08781409,0.961563095,737.9609916,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.102559,670.6677476,379.9730724
element_2576,2030,272.214233,4.719566672,237.7295431,1024.609891,802.3655707,15.04606092,0.957095473,712.5686653,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.0961556,641.3946001,383.2152909
element_2576,2031,271.9495973,4.60929702,232.3028306,1150.556217,779.740682,15.13258952,0.973547561,732.0012354,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.1312492,657.8877197,492.6684973
element_2576,2032,272.2708924,4.725464326,239.140344,941.1463878,817.7203113,15.03777012,0.961875813,708.1674882,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.0965805,627.0589719,314.0874159
element_2576,2033,272.3130446,4.647069928,236.730311,951.2992891,834.8480287,14.8966448,0.945135284,767.9395284,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.091095,636.9049409,314.3943482
element_2576,2034,272.2449241,4.632411526,237.0533222,1026.034674,830.5099184,14.85941349,0.946426501,888.8177617,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.127222,658.59969,367.434984
element_2576,2035,272.5438991,4.585715095,236.4508374,1025.146463,837.1045674,15.0354224,0.99349734,922.0467649,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.1373992,662.5451588,362.6013042
element_2576,2036,272.3863857,4.588242963,236.1797673,1028.082898,818.9425229,15.24821513,0.988769136,830.3422167,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.1434374,654.9946713,373.0882267
element_2576,2037,272.6227035,4.614502617,233.9484397,992.5788508,839.9481986,15.25068573,1.011505502,967.0230229,4827.281954,3.676007562,30987.7,1.637591603,27.61136199,80.26761313,31.28324377,14.67858982,48.59600449,32.7159462,4,2.0691068,648.4924765,344.0863743
