no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,p-n,AET,R
element_1029,1985,286.2072175,3.858787042,209.1673511,552.4082969,1419.351232,14.88415136,1.090502952,1323.930325,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,1.9739307,513.4625898,38.94570712
element_1029,1986,286.1487274,3.843992039,211.4780796,564.999186,1412.019849,14.90514303,1.096002351,1630.480693,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,1.9499022,521.8326572,43.16652877
element_1029,1987,286.2152545,3.761234796,210.8660101,583.6008087,1373.633614,14.99183207,1.073282309,1168.623057,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,1.9157352,532.0090078,51.59180094
element_1029,1988,286.731554,3.686797387,212.1496398,544.3683141,1435.605261,14.87900296,1.114232943,1781.108183,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.0246007,510.1661108,34.20220329
element_1029,1989,286.605877,3.810817362,208.8677346,638.1382397,1417.487012,14.94643431,1.140394112,1729.373327,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.1458728,590.6752306,47.46300915
element_1029,1990,286.867405,3.780812516,212.9021477,536.7369361,1421.676606,15.00427906,1.103986295,1595.314541,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,1.9283142,498.5722684,38.16466768
element_1029,1991,286.5756794,3.822090772,212.2542406,525.9302098,1425.779019,14.91400448,1.117660201,1810.110232,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.2319765,502.3185516,23.61165815
element_1029,1992,286.1890964,3.656354866,205.6530498,696.6294632,1359.312669,15.03140085,1.178897397,1546.153275,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.2267027,635.7809733,60.84848992
element_1029,1993,286.3416391,3.741580907,212.1732276,519.3945627,1399.129269,15.12954518,1.166659307,1470.786659,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.2334323,495.8134631,23.58109956
element_1029,1994,286.5318044,3.721814955,211.3730765,534.5249009,1430.636597,14.99816615,1.10402034,1988.702909,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,1.986197,500.0677781,34.45712284
element_1029,1995,286.6694449,3.809086513,211.3414613,555.6537791,1409.532924,14.12816466,1.115536597,1788.154039,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.0518167,519.486906,36.16687305
element_1029,1996,287.1566354,3.683344973,211.2949969,574.5326513,1440.688744,13.94178331,1.075974777,1421.208737,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,1.8605133,525.4391844,49.09346695
element_1029,1997,286.7153439,3.763802109,213.3955438,580.6831164,1453.088092,14.08612114,1.097666513,1927.207656,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,1.8879843,532.6671243,48.01599208
element_1029,1998,286.9359317,3.747829373,212.0444549,546.9579528,1462.90107,14.13133894,1.157283515,2143.341292,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.1392908,518.3285578,28.62939502
element_1029,1999,286.9402558,3.73122792,210.8940297,539.7148872,1448.043689,14.08774068,1.140543489,2071.563769,1123.406552,3.459488697,74073.4,1.898676627,23.0075708,34.83956399,37.39451179,26.32578468,32.47708511,33.2786293,6,2.2171125,514.4547598,25.26012742
