Filename,eps_PPT,eps_PET,eps_n,dRPPT,dRPET,dRCC,dRn,dR,pPPT,pPET,pCC,pn,hisR,dis_n,v_4_LAI,v_4_PPT,v_4_AET,v_4_R,v_7_LAI,v_7_PPT,v_7_AET,v_7_R,v_10_LAI,v_10_PPT,v_10_AET,v_10_R,r_4_LAI,r_4_PPT,r_4_AET,r_4_R,r_7_LAI,r_7_PPT,r_7_AET,r_7_R,r_10_LAI,r_10_PPT,r_10_AET,r_10_R,tree_4,tree_7,tree_10,v_tree_4,v_tree_7,v_tree_10
element_0,2.536197103890116,-1.53619710388822,-8.166272188705452,-0.00142769575730026,-0.005462298965893896,-0.006889994723194156,0.004361298313698383,-0.0025286964094957728,56.45975341045173,216.01244599319415,272.4721994036459,-172.47219940364587,0.018043834066666667,-0.04767172333333347,0.003989245366666672,1.9006457030000057,1.896193616999998,0.004452086533333333,0.007792322266666679,-3.7773040649999956,-3.771621596000003,-0.005682467666666666,0.01282152336666667,-0.17491334199999287,-0.17544596300000137,0.0005326219333333312,3.249758388794483,6.343230073614753,6.332184865029972,24.673727972027347,6.347858385920638,-12.606404604748766,-12.59502456536928,-31.49257328387979,10.444795766665372,-0.583757177626289,-0.5858875705408612,2.951822386336793,0.11463915309999999,0.1068420193,0.1362758982,0.00963516189999998,0.001838028099999986,0.03127190699999999
element_1,2.3050989604199987,-1.305098960419602,-7.365383487237118,0.007156173211122028,-0.010536149295691844,-0.0033799760845698162,0.004665157329049139,0.001285181244479323,556.8221013076854,-819.8181650215764,-262.996063713891,362.9960637138909,0.0359640744,-0.024007736666666668,0.0034312388333333638,1.4152120910000008,1.418405440333327,-0.0031933478999999973,0.005751162433333359,1.4577642130000044,1.4575643673333296,0.00019984630000000753,0.010441404733333354,4.177600427000005,4.168487971333331,0.009112456600000006,3.281648032973096,5.939003180541272,5.9614014586829285,-8.87927175459296,5.500430545174918,6.117575134175607,6.125982105302145,0.5556831458451424,9.986193607902182,17.531493958232154,17.51969469813157,25.337664744682005,0.0921420809,0.28879960979999997,1.0356522724000001,0.0381210023,0.23477853119999997,0.9816311938000001
element_10,2.0989811012972424,-1.0989811012972266,-3.808325207705642,8.18777033394397,-2.6769788498961367,5.510791484047833,3.4381168116078786,8.948908295655713,91.49462776279381,-29.914027068482618,61.580600694311194,38.419399305688806,4.4493816417,-0.12180552333333372,0.040708562800000014,31.9647865966667,28.790862283333382,3.173924324499999,0.08424648079999997,69.69016000666673,63.16170536333331,6.5284546569,0.12162385720000002,114.24491255666669,105.95865715333329,8.286255411700001,23.931972621068393,17.27735218812218,15.945283053070142,71.3340544841939,49.52728205690825,37.668370938141294,34.98093458340016,146.72723498732373,71.50089859176093,61.75075137678492,58.68322954714578,186.23386526434325,2.3858541587,2.7879811034999995,3.5902093625999996,0.6075449210333335,1.009671865833333,1.811900124933333
element_100,2.5239039772962584,-1.5239039772962613,-2.459838864322209,-47.770684812080006,-60.31332804010863,-108.08401285218864,7.794684804646414,-100.28932804754223,47.63286956059201,60.13932809632253,107.77219765691454,-7.77219765691454,202.53156823,-0.04074969000000017,0.04924509713333336,0.07518306666634089,16.70967974333371,-16.63449663000003,0.26339596713333346,-128.14664328333356,-53.592637266666316,-74.55400608000001,0.4221813257333338,-189.01372615333366,-87.84989975666622,-101.16382649200001,2.4422947315289547,0.005628327767932996,1.4744710796482818,-8.21328584742378,13.063038155737114,-9.593268042122729,-4.729042982604463,-36.81105455883035,20.9379468741163,-14.149877766366284,-7.751922151164001,-49.94965840442009,40.825802687,38.838722899,38.36221752,3.2649456396666636,1.277865851666661,0.8013604726666657
element_1000,3.118072872974353,-2.118072872981824,-9.888971980692498,0.003149076730289384,-0.0015992483850821298,0.0015498283452072541,-0.001029460126526161,0.0005203682186810932,605.1631550963896,-307.3301419397841,297.8330131566055,-197.83301315660552,0.003238509899999999,0.07021065333333398,0.010896149166666674,2.5359938773333397,2.5371608829999914,-0.001167005999999999,0.021221525466666655,7.990116116333333,7.990075722999997,4.0392600000000844e-05,0.022176675066666665,16.55525802033334,16.554134207999994,0.0011238120000000005,13.05989077403128,6.947024713224326,6.950838215039,-36.0352765943374,25.43566542763979,21.887881756271106,21.889713044454158,1.24725880875031,26.58048725946828,45.350971715277396,45.35191656186791,34.70151503937045,0.0848808438,0.1550024819,1.5422327245000003,0.07177753773333333,0.14189917583333334,1.5291294184333335
element_1001,2.708688919437412,-1.7086889194399393,-8.012927035435007,0.039309417208967884,-0.007167647333950517,0.032141769875017365,0.001434932275474174,0.033576702150491536,117.07349051965315,-21.347085553027096,95.72640496662605,4.27359503337396,0.006247315433333334,-0.014528376666667064,0.009262169599999995,14.839899837,14.828872259,0.011027580266666667,0.026007725299999992,27.946896037,27.92019301399999,0.026703022366666666,0.03630186319999998,33.42340412099999,33.39707287000001,0.026331252566666668,9.688183318477199,52.78926132047007,52.76175883963889,176.51710377592957,27.20395126461488,99.41414795232504,99.34123545145295,427.4319529983926,37.97156829042316,118.89546652895946,118.82820715832474,421.48108011599624,0.4637612559999999,2.5423002968999997,4.8730075157,0.38170527249999986,2.4602443133999996,4.7909515322
element_1002,3.006803684251591,-2.0068036842515005,-6.44809780139087,-0.6796264402573107,-0.31263653696019933,-0.99226297721751,-0.08971157702979933,-1.0819745542473094,62.813532683317334,28.89499903051688,91.70853171383422,8.29146828616579,1.2717528695333333,0.03972517000000009,0.04122959693333339,-10.989243456666685,-10.606334913333313,-0.38290854173333333,0.04665895733333336,-34.25257031666666,-33.48123652333331,-0.7713337853333333,0.004307488933333381,-57.219712776666654,-56.184349853333345,-1.0353629389333334,14.826342224235828,-5.710688933290872,-5.548374193807031,-30.10872244965649,16.778763817861268,-17.799748910421165,-17.51466743420325,-60.651232154590886,1.5489917390163983,-29.734893198817925,-29.391094979490028,-81.412274643678,2.2060458453000003,2.2055297522,2.0718830940000004,0.26352087353333387,0.26300478043333353,0.12935812223333398
element_1003,2.5981041467346606,-1.5981041467332868,-8.202032393654287,0.01658358117885951,-0.005349550837683577,0.011234030341175934,0.0005336136121091262,0.01176764395328506,140.92524590897426,-45.459829163085736,95.46541674588852,4.534583254111478,0.0084400051,-0.006889396666666325,0.00514474333333334,7.758835656466665,7.751840683366666,0.006994972799999999,0.009478806133333323,13.441466658466656,13.430874848366667,0.010591809700000001,0.01302052333333334,8.429257263466663,8.424395696366663,0.004861567099999997,5.667008809030145,33.828886196971695,33.81082977224953,82.87877456377365,10.441041345766294,58.605423035436544,58.580799288729835,125.49529975994922,14.342293803095291,36.751955746497636,36.74428054682607,57.60147111759443,0.030380251599999998,0.1715125845,0.4736221026,0.03024286273333333,0.17137519563333334,0.47348471373333334
element_1004,2.871758037451552,-1.8717580374511202,-9.075993686069838,-0.00249497282690383,-0.004058902955006669,-0.006553875781910499,-0.00032378267772219395,-0.006877658459632693,36.27648627142029,59.01576792202964,95.29225419344993,4.707745806550066,0.013144053866666665,0.007004036666666158,-0.0006306979666666906,-1.5190511263333306,-1.5159536219999978,-0.0030975045666666624,0.02991249643333331,-2.161555709333335,-2.157502718999993,-0.004052988466666664,0.018552146233333316,-4.589378930333339,-4.581934309000005,-0.007444620766666665,-0.8064841923429371,-3.7231124287331863,-3.716717966973192,-23.565823741197057,38.249616776942545,-5.2978565285314705,-5.289626940513882,-30.835148027999544,23.722944201475382,-11.248320375453158,-11.233692985464721,-56.638696418813616,0.05767101720000001,0.0533430081,0.048736512200000005,-0.00889948929999998,-0.013227498399999989,-0.017833994299999982
element_1005,2.4087103981750295,-1.4087103981750386,-3.3436402635189957,26.11306159622467,-6.709112757218038,19.403948839006635,2.124481529099556,21.52843036810619,121.29570595592745,-31.163966171715956,90.13173978421149,9.868260215788514,14.764835865599997,-0.03800110999999995,0.10056628779999993,90.53355535999998,84.11829737666676,6.415257974200005,0.2771387532999999,167.4868960899998,151.47311345666662,16.013782631400005,0.41919460299999994,285.62613222,263.6600659666667,21.966066249400008,23.823288658408316,20.29231122397326,19.49971219363321,43.44957189227318,65.65178712201916,37.54073512170026,35.11343203075648,108.45892753003696,99.30359616312577,64.02062026240498,61.119822483835385,148.77284413691228,1.0981580005,1.1246138297000001,1.2105121177,-0.02146564970000009,0.004990179500000025,0.0908884674999999
