no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_52,677.7158927,0.492967216,26.96910129,414.0738875,11241.6,2.73835247,25.74171444,43.36801626,6.890261472,28.78792763,34.0804863,38.7689209,2
element_53,1323.231181,1.102881687,23.56812252,732.8861764,63469.5,1.692838436,25.72087232,41.22253211,7.497669751,30.07904816,30.58909607,36.47189713,8
element_54,1033.558542,0.966291339,23.58170896,554.5542882,15233.4,2.062502901,22.44960276,42.6727012,8.018256197,27.46973228,33.86768723,36.68567657,8
element_55,1096.652072,1.578379098,24.64380122,660.9706429,41094.5,1.392770932,23.98415409,41.60751775,7.792716669,31.11363602,28.31022644,39.34629059,8
element_56,1375.873738,1.890776728,23.20936022,659.2295609,14846.2,1.334652627,23.08736903,42.02949964,8.629754168,31.12120056,30.31446266,35.91401291,8
element_57,1945.543504,3.063767932,19.89682471,912.9736201,27292.3,1.588168954,25.83701168,40.10629012,7.817458641,34.91854858,30.04930305,30.54497147,8
element_58,1621.548865,3.203305309,22.4931894,849.4416033,10541.8,1.190708827,22.16039331,41.28435861,8.780687175,32.46114349,30.17300034,35.56209946,8
element_59,71.37411467,0.082635022,27.95123536,519.2082595,49488.3,4.404074862,25.00271985,40.9698396,-0.941237723,39.78679276,38.47034073,19.54371643,11
element_60,585.4003592,0.691872264,24.3762121,676.6329846,95248.8,3.204086677,29.80124904,38.73071439,-1.225177778,40.29834366,41.24115753,16.98527527,11
element_61,41.30855946,0.398101798,26.89107499,899.5107208,1482.6,2.707247613,24.84531564,40.13264944,-2.755724042,26.37377357,32.52083206,14.14973927,11
element_62,1153.545594,1.280779986,24.00651027,709.5215707,46797.7,2.228364035,27.07675453,37.68389371,-2.390238861,38.60390091,41.80161667,17.71068573,8
element_63,367.4849141,0.861554882,25.09661538,843.5604662,32106.1,2.403686834,24.9086419,38.97154998,-4.03277536,31.47126389,46.8626442,14.8615799,11
element_64,1009.291759,1.521498429,22.45191794,736.7379419,51382.7,1.988178695,25.55381617,37.44257537,-4.411895876,41.43407059,39.76795959,17.24596214,8
element_65,398.6177088,0.649338985,25.032918,945.7138673,7777.6,2.097524615,25.2504552,38.31542747,-5.706123067,38.28442383,44.17125702,12.42888165,11
element_66,915.4489572,1.479124663,23.42113089,832.9200892,43302.3,2.183656048,25.10985563,36.94870859,-6.162473605,39.6803093,41.5190773,16.76451683,8
element_67,19.79534021,0.226092743,26.34444467,951.53837,244.5,2.64111511,22.62155364,38.78973419,-6.329951983,14.35999966,30.27499962,10.11616135,11
element_68,292.1330994,1.207035159,25.69993014,1058.157701,17616.1,2.736306532,26.17971163,38.12471521,-6.972906731,38.18233109,43.6594162,16.30540848,11
element_69,92.8912504,0.428565679,26.35992818,1095.783066,7782.7,2.428629637,24.0925632,39.12331718,-7.164388136,27.01352692,44.40858078,11.99180698,11
element_70,99.51273369,0.452507955,26.33170534,1019.096763,177136.2,3.132979965,26.54285168,38.8252855,-7.856734718,31.11941719,43.19676971,17.63693428,11
element_71,122.110685,0.404482088,26.25910289,1081.699112,163246.3,3.338793927,26.47367522,38.13687141,-7.656440813,33.43223572,46.2793045,18.98167992,11
element_72,235.6968219,0.641694645,25.93523436,984.4569491,8226.7,2.543975229,26.4684484,38.32547455,-8.370769894,31.59327698,49.00473404,18.55208397,11
element_73,697.1294556,1.182227348,23.2581525,1175.994456,72274,2.420058685,27.29085465,36.439479,-9.120766942,32.98137665,49.5497818,16.47706985,10
element_74,997.8723271,2.692215439,23.37852591,980.7955148,85666.5,2.074441037,24.2726819,36.4029526,-7.343894672,35.83846283,44.6699028,17.90475273,8
element_75,1212.609058,0.562893364,22.33643546,609.3361049,27780.2,2.667204044,24.13453639,34.54262216,-6.771172172,32.75054932,47.1075058,18.76931763,8
element_76,890.4510727,0.730294262,23.29420686,506.5531211,37726.8,2.758956535,28.51805819,35.3506416,-7.289382878,34.81583023,45.54192734,17.61441994,8
element_77,1332.04373,1.304389489,21.01488891,914.5135354,29211.2,2.649654457,26.51539708,34.50043835,-8.31379323,33.7234993,45.37844849,19.48257828,8
element_78,1635.330917,1.249804101,20.41058076,825.757517,5406.7,1.685212005,24.95914196,35.54252167,-7.977080783,36.27877426,44.0449028,18.35882759,8
element_79,314.9264985,0.717350078,25.57811551,997.4592132,56548.9,2.377092524,24.77448038,38.76514798,-9.622105939,32.5766983,48.18825912,14.80354023,11
