Filename,660448838.4,eps_PPT,eps_PET,eps_n,dRPPT,dRPET,dRCC,dRn,dR,pPPT,pPET,pCC,pn,hisR,dis_n,v_4_LAI,v_4_PPT,v_4_AET,v_4_R,v_7_LAI,v_7_PPT,v_7_AET,v_7_R,v_10_LAI,v_10_PPT,v_10_AET,v_10_R,r_4_LAI,r_4_PPT,r_4_AET,r_4_R,r_7_LAI,r_7_PPT,r_7_AET,r_7_R,r_10_LAI,r_10_PPT,r_10_AET,r_10_R,tree_4,tree_7,tree_10,v_tree_4,v_tree_7,v_tree_10
element_4269,69302.7,2.923124146,-1.923124146,-3.618519676,-2.137022584,-12.81433115,-14.95135373,0.270571163,-14.68078257,14.55659856,87.28643101,101.8430296,-1.843029566,34.97258461,-0.005416457,0.120271601,1.422098943,6.185178107,-4.763079153,0.186429008,29.81373571,34.9974459,-5.183710165,0.023561183,-12.52395555,1.662150897,-14.18610643,10.23208453,0.198982491,0.909969235,-13.61946567,15.86041384,4.171588359,5.148857237,-14.82221066,2.004463358,-1.752373056,0.244537207,-40.56350592,17.03285711,17.18606759,9.792790183,3.319951647,3.473162122,-3.920115282
element_427,541106.8,3.127447219,-2.127447219,-6.205785971,0.816561381,-0.228347206,0.588214175,-0.060700631,0.527513544,154.7943915,-43.28745839,111.5069331,-11.50693309,0.342910272,0.03238076,0.020673775,64.84528641,64.4793289,0.365957499,0.05301837,86.21074637,85.8921889,0.318557493,0.077033654,118.9293227,118.3864954,0.542827297,10.38738253,31.17674841,31.05199531,106.7210665,26.63868004,41.44897646,41.36401375,92.89820666,38.70497847,57.17963134,57.01264207,158.3000983,3.844331412,7.675519434,10.59719079,2.206879951,6.038067973,8.959739326
element_4270,17432.1,2.532282831,-1.532282831,-3.28025794,-0.948630533,-10.38180857,-11.33043911,7.533178065,-3.797261042,24.98196785,273.4025515,298.3845193,-198.3845193,33.31471939,-0.129601313,0.074859843,-7.707456677,-2.74643157,-4.961025123,0.161386526,8.960549153,10.2778067,-1.317257554,0.136551039,-19.0064069,-12.41762801,-6.588778879,8.319220761,-1.282321804,-0.483748056,-14.89139099,17.93498467,1.490804041,1.810301433,-3.953980637,15.17500164,-3.162175411,-2.187203013,-19.77738069,15.5411958,16.1325916,13.93050127,3.408873771,4.000269575,1.798179248
element_4271,41668.2,2.857783054,-1.857783054,-3.711009177,-1.103041718,-9.321740882,-10.4247826,0.661457737,-9.763324863,11.29780821,95.47711474,106.774923,-6.774922953,27.9685615,-0.015560873,0.059849552,-7.84068701,-2.435928783,-5.40475821,0.145241648,13.18810921,19.51336801,-6.325258791,0.10493471,-13.88427941,-3.500418803,-10.38386061,6.037072428,-1.224179581,-0.397691963,-19.32440541,14.65064174,2.059081555,3.185770321,-22.61560285,10.58484852,-2.167775773,-0.571481578,-37.12690267,15.53826417,16.00727596,12.13084277,3.457464212,3.926476006,0.050042811
element_4272,26404.9,2.685258929,-1.685258929,-3.658660569,-0.791712245,-6.60572513,-7.397437375,-0.21030736,-7.607744735,10.40666153,86.82895339,97.23561492,2.764385077,25.03441845,0.005098407,0.047072717,-23.43213381,-17.80516588,-5.626967928,0.151651234,-4.794918103,1.939307327,-6.734225422,0.20397616,-21.27433991,-11.94613464,-9.328205265,6.078512704,-4.426383218,-3.530390442,-22.47692687,19.58276475,-0.905770904,0.384523913,-26.89986762,26.33949655,-4.018771057,-2.368667601,-37.26152171,12.94449969,13.30043004,12.88360325,2.983665817,3.339596168,2.922769378
element_4273,12076.6,2.45826277,-1.45826277,-3.261491725,-0.956743635,-8.569793754,-9.526537388,10.68377104,1.157233655,-82.67506136,-740.5413517,-823.216413,923.216413,27.67737763,-0.180064457,0.042956697,-22.84675491,-24.7997437,1.952988799,0.141452353,-4.38003613,-5.80399282,1.42395669,0.197070436,-19.23464002,-17.25965592,-1.974984112,5.29144851,-4.183984986,-4.784130699,7.056263875,17.42424107,-0.802127282,-1.119651097,5.144839621,24.27533167,-3.522489097,-3.329568674,-7.13573424,12.85836764,13.21627883,12.57732806,3.070740313,3.428651507,2.789700736
element_4274,2561.2,2.501780958,-1.501780958,-2.63271172,-9.958564476,-22.32483783,-32.28340231,7.892720588,-24.39068172,40.82938144,91.5301921,132.3595735,-32.35957354,94.95028897,-0.068109453,0.130299889,7.07758769,17.57713471,-10.49954701,0.168782528,42.98483952,60.14341098,-17.15857147,-0.217560514,-30.81511516,-9.412964947,-21.40215021,7.092726212,0.77592793,2.150911507,-11.05794108,9.187484899,4.712500788,7.359740758,-18.07111032,-11.84265903,-3.378313286,-1.151863199,-22.54037396,21.09909029,20.54087111,16.72140131,2.990863148,2.432643965,-1.386825836
element_4275,5867.9,2.491233344,-1.491233344,-2.691170743,-9.927592769,-23.21269688,-33.14028965,6.807832783,-26.33245686,37.7009742,88.15241585,125.85339,-25.85339005,92.11499847,-0.05996176,0.19822047,4.82118715,18.53879416,-13.71760702,0.262670672,44.93405217,61.47186456,-16.53781235,-0.048374529,-39.85172737,-14.59218865,-25.25953872,11.4492369,0.542972182,2.32954953,-14.89182788,15.17188792,5.060566953,7.724437306,-17.95344149,-2.794118322,-4.488184903,-1.833626606,-27.42174362,23.26873796,23.05099594,18.76797837,4.650130267,4.432388248,0.14937068
element_4276,2628.5,2.510961665,-1.510961665,-2.705407707,-7.597942734,-20.97785859,-28.57580132,12.40896086,-16.16684046,46.99707868,129.7585551,176.7556338,-76.75563375,81.17060914,-0.11777716,0.127421111,13.032103,23.19501394,-10.16291094,0.172739755,35.1743749,50.59215371,-15.41777882,-0.146789065,-25.87918198,-14.17667627,-11.70250571,6.538166122,1.470265864,2.880628534,-12.52043203,8.863532926,3.968329802,6.283126275,-18.99428745,-7.531964553,-2.919657546,-1.760625722,-14.41717123,19.49499338,19.44496738,17.01564613,1.53053703,1.480511032,-0.948810221
element_4277,26592.3,2.441058747,-1.441058747,-2.769784196,-4.81021961,-21.72849815,-26.53871776,7.782431316,-18.75628644,25.6459061,115.8464828,141.4923889,-41.4923889,77.78285716,-0.069096767,0.210907382,17.93847272,23.35040382,-5.411931082,0.276609725,43.54135153,48.20221142,-4.660859877,0.017145646,-27.13696345,-7.950157697,-19.18680574,13.42585281,2.229156682,3.212162101,-6.957742721,17.6083047,5.410744617,6.630862485,-5.992142803,1.091450277,-3.37222373,-1.093651118,-24.66713931,22.72613852,23.00791672,18.96550277,4.284499297,4.566277506,0.52386355
element_4278,7217.2,2.454301996,-1.454301996,-2.724892344,-6.238895719,-22.09114732,-28.33004303,6.067575001,-22.26246803,28.02427705,99.23045047,127.2547275,-27.25472752,86.86836622,-0.05243855,0.173657436,18.2646495,26.54366252,-8.279013018,0.202785364,27.94679271,43.35034043,-15.40354772,-0.029141685,-19.41076658,0.92409651,-20.33486307,9.884070635,2.129845634,3.444146769,-9.530526908,11.54194667,3.258882928,5.624880697,-17.73205643,-1.658659049,-2.263494651,0.119905232,-23.40882412,17.80812882,18.07516059,15.66666595,1.876765407,2.143797186,-0.264697454
element_4279,43568.1,2.42426168,-1.42426168,-2.831938189,-1.898470313,-20.42170484,-22.32017515,2.032038388,-20.28813676,9.357539017,100.6583555,110.0158946,-10.01589457,74.35230023,-0.01819487,0.222251222,26.0765243,27.0496431,-0.973118792,0.255151561,38.19015096,47.13659591,-8.94644493,0.08397014,-20.89267744,1.398214837,-22.29089228,16.53177058,3.462583958,3.985261107,-1.308794468,18.97900509,5.071097764,6.944699482,-12.03250592,6.245972812,-2.774244332,0.206000914,-29.98009774,19.34515034,20.02399889,17.41433598,3.88255569,4.561404236,1.951741331
element_428,54138.3,3.085496332,-2.085496332,-5.646576842,1.534012373,-0.560107747,0.973904626,-0.215096941,0.758807685,202.1608905,-73.81419015,128.3467004,-28.34670035,1.066960686,0.05037589,0.063574304,67.71752547,67.13800084,0.579524616,0.101168746,97.85735365,97.08537809,0.771975553,0.139570294,114.4858508,113.8611498,0.624700926,25.11845032,23.83885187,23.72394827,54.3154611,39.97215814,34.44908747,34.30618218,72.3527646,55.14475635,40.30287904,40.23408494,58.54957306,4.538947665,7.915260563,10.14482826,2.151506879,5.527819777,7.757387477
