no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_1243,2015,278.9028621,3.112214729,115.5311471,757.2925842,871.4962251,17.97006249,2.390706911,758.2988464,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2016,279.1194787,3.13901926,117.807862,803.3308666,881.8213514,17.85351767,2.35425001,731.0562269,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2017,279.1511458,3.094253016,119.106111,734.5964712,872.5093125,17.85633945,2.399081387,757.2149443,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2018,278.936685,3.131537769,114.4663511,848.552647,870.0355318,17.72848745,2.369662616,812.2312731,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2019,278.9066276,3.073037484,115.8986117,767.2690989,844.7252636,17.6438415,2.338247485,728.4124562,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2020,279.1193577,3.18857948,117.243828,838.3501891,882.9179363,17.71705048,2.392424416,717.794027,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2021,280.06407,3.224276323,118.3476396,773.8166388,921.5005048,17.61859547,2.432905071,696.1151975,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2022,279.3807911,3.124501856,115.1132193,821.0482048,901.3517255,17.56579541,2.493724751,634.7892496,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2023,278.6074087,3.099060779,116.7495308,795.5201809,859.5548753,17.65875055,2.411023186,708.2440516,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2024,279.1003479,3.159981894,114.0101843,821.4052933,876.3326058,17.43575622,2.471804212,741.9572587,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2025,279.8522508,3.123174662,117.1039431,773.399379,917.9805509,17.3572068,2.445152827,685.3853018,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2026,279.6312017,3.159786088,117.7245018,761.0682593,891.3608149,17.26416112,2.447674216,726.8543305,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2027,279.0318301,3.043653595,114.1170743,789.7383324,868.5038186,17.42936847,2.489627028,703.5565618,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2028,280.0603706,3.166761958,114.2276196,854.0326358,913.9213669,17.48481157,2.406852584,825.9757442,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2029,280.2185916,3.128296057,115.5544343,839.9670895,914.7535321,17.52093915,2.491314856,678.1334151,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2030,280.6438159,3.19329748,115.9203721,843.7334468,924.4447641,17.55868997,2.496415907,757.651121,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2031,279.5466944,3.102773892,115.0301086,815.9631934,925.274217,17.43029148,2.502402234,878.0209335,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2032,280.0705654,3.15211909,116.1031989,825.575358,925.3107462,17.40282368,2.473625463,761.4985655,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2033,279.9784748,3.090915295,115.5224538,815.3808169,909.9762519,17.57958916,2.433032767,730.4388585,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2034,280.3743619,3.171129841,117.1781063,852.412775,928.5816537,17.52310622,2.483408177,676.2495419,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2035,280.7323753,3.224627832,119.2575543,798.4067148,963.0122118,17.50324256,2.523758017,746.336466,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2036,280.9272602,3.11605385,117.8101525,844.397058,962.8408736,17.42575383,2.532656716,768.0090341,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2037,281.3181523,3.16765735,119.6957821,812.1735923,982.1399652,17.37989328,2.583743712,694.9268995,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2038,280.6008598,3.12907494,120.5847957,767.4247846,951.0236699,17.15247472,2.487082801,765.2909339,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2039,281.1365812,3.117054971,118.2615536,791.5205859,981.4120492,17.12679696,2.507438325,875.8683957,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2040,280.0016324,3.100190266,118.9889309,768.0287839,940.9069733,16.97181445,2.464170689,770.7684522,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2041,281.2812574,3.170606391,117.4061398,807.5646842,972.4007168,17.16787864,2.529180701,744.3885787,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2042,280.9639445,3.154674989,117.4770454,850.4250816,958.5843778,17.32667884,2.555397599,765.0528966,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2043,281.0743016,3.182881137,115.9676909,869.9465302,951.4892533,17.59659142,2.561637652,757.4555134,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2044,281.5765766,3.102533871,119.5267998,823.0430781,984.1701859,17.48605862,2.671320976,729.9258292,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2045,281.1591935,3.134569259,118.4966748,828.3928701,971.2250524,17.32361037,2.67357692,754.4190224,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2046,281.0539749,3.103499168,117.9192371,827.1307101,976.0405039,17.31893817,2.656495259,694.4777164,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2047,280.8306976,3.106582129,117.5195516,796.1349329,986.2592979,17.16036867,2.690101691,765.3193927,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2048,281.3299083,3.040974347,116.9712579,879.661747,968.8150758,17.12199681,2.698442705,822.6940826,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
element_1243,2049,281.1522356,3.159094791,117.6714498,855.7463216,974.779789,17.18903879,2.681029487,686.1777406,84.36713702,0.148337484,56229.3,3.614107857,20.05595239,27.99342441,57.87822877,14.71165752,44.7771225,36.22059631,12
