no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_4640,2005,254.5837361,6.333833223,119.9127319,299.9308465,223.1932327,18.99019712,2.14E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9515446,177.6120739,122.3187726
element_4640,2006,254.5683089,6.233553175,121.0964569,260.6757614,222.2819308,18.99084636,2.45E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9456638,167.5379786,93.13778276
element_4640,2007,254.8798718,6.308726379,121.4328932,264.8721431,219.5748391,18.990732,2.01E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9088955,166.3354983,98.53664477
element_4640,2008,254.3597653,6.317103058,120.4837114,272.5881435,216.6794991,18.99007756,1.94E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9487416,168.1357631,104.4523804
element_4640,2009,254.9355685,6.553664953,120.0656485,314.5026491,220.7199804,18.98969702,1.87E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9487416,179.1634537,135.3391954
element_4640,2010,254.5702929,6.392202237,120.6647826,272.4127158,213.1068778,18.98921528,1.91E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9455725,166.2950954,106.1176204
element_4640,2011,254.8690307,6.424814009,120.6432623,274.3514676,219.3174143,18.98994214,2.16E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9455725,169.7116064,104.6398612
element_4640,2012,255.4196791,6.342551044,120.8702008,290.3235176,224.4905064,18.98940064,2.24E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9489318,176.0581977,114.2653199
element_4640,2013,255.4963059,6.279161221,120.8817113,266.8589079,224.6698934,18.99025643,2.37E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.9489318,170.3474645,96.51144344
element_4640,2014,254.9481548,6.24245906,122.9726488,269.7427897,222.838438,18.99092109,2.33E-06,0,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,1.8806586,168.1505123,101.5922774
element_4640,2015,254.4049316,6.280003415,118.8214367,276.8435369,223.6734862,18.99103767,2.29E-06,778.5291214,1678.769506,0.326063521,210574.6,2.880334071,34.54762066,-28.03952952,77.32103354,10.0550518,38.60931015,32.78674316,9,2.1105266,177.0615073,99.78202962
