no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_1030,1985,287.4956073,4.389884041,196.1010938,652.5026632,1448.379498,15.01607762,1.35773375,1261.645908,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.73799,573.8523279,78.65033529
element_1030,1986,287.5487071,4.458250677,199.5282188,644.2163617,1455.247674,14.94008345,1.355405535,1245.082318,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.7731651,571.7215132,72.4948485
element_1030,1987,287.5915689,4.324195887,200.4190841,690.3777386,1420.744926,15.10471863,1.396912702,971.2575797,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.7564507,599.4590816,90.91865702
element_1030,1988,287.9304327,4.325070398,198.6206827,638.6562443,1462.990239,15.02786786,1.431103464,1514.796906,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.7933121,570.0158589,68.64038538
element_1030,1989,287.7456015,4.489757967,197.4831242,716.3603841,1449.703815,15.01230754,1.479913323,1196.14716,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.771306,621.2822773,95.07810678
element_1030,1990,287.9823509,4.395769433,201.8860477,610.0391695,1472.759011,15.09420042,1.461272064,1413.04525,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.7382952,545.1046174,64.93455211
element_1030,1991,287.8625091,4.415250251,200.3327833,652.8464052,1457.978332,15.04155701,1.48779921,1707.526704,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.7047607,571.6285667,81.21783848
element_1030,1992,287.4427745,4.299492783,193.2347824,787.2914455,1388.31065,15.14618292,1.49858207,998.2302174,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,2.344002,712.2681454,75.02330007
element_1030,1993,287.6955161,4.346922589,201.256563,613.0708949,1436.571775,15.13599226,1.47561343,1117.863594,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.7104408,542.3993631,70.67153181
element_1030,1994,287.9044416,4.328201303,201.6813082,579.6990606,1476.236769,14.96608788,1.43915637,1783.401206,675.7011917,2.97601449,135473.7,1.769754902,21.31499981,28.72568925,38.47214788,21.46097183,32.72075653,32.75156021,5,1.7258258,521.7711062,57.92795439
