no,date,R,PPT,PET,tas,AET,LON,LAT,AREA,ELE,SLP,RIVER,CLAY,SAND,SILT,CTI,SW,SPEED,LAI,SRAD,CO2,Cluster,n
AT_0000041,1989,289.61,1138.48,596.88,8.878334427,579.6124023,14.3604,46.7104,417.6311,765.3816223,2.793208968,29.32330687,19.40227318,42.84999847,35.69610214,1.079206453,22.6513607,1.43351388,2.240060498,134.8478943,16238.97578,10,3.461600504
AT_0000041,1990,273.56,1143,608.62,8.878334427,587.509729,14.3604,46.7104,417.6311,765.3816223,2.793208968,29.32330687,19.40227318,42.84999847,35.69610214,1.079206453,22.72691612,1.47208333,2.26489248,135.0976166,16469.7418,10,3.311973073
AT_0000041,1991,267.72,1166.68,604.83,8.878334427,588.7650513,14.3604,46.7104,417.6311,765.3816223,2.793208968,29.32330687,19.40227318,42.84999847,35.69610214,1.079206453,22.78866577,1.511138916,2.274713379,134.301001,16947.34063,10,3.515945922
AT_0000041,1992,246.51,1151.17,624.53,8.878334427,585.8533813,14.3604,46.7104,417.6311,765.3816223,2.793208968,29.32330687,19.40227318,42.84999847,35.69610214,1.079206453,21.75977669,1.57237494,2.279943652,135.8545227,17297.95469,10,2.717786096
AT_0000041,1993,253.13,1159.8,629.63,8.878334427,583.0786987,14.3604,46.7104,417.6311,765.3816223,2.793208968,29.32330687,19.40227318,42.84999847,35.69610214,1.079206453,21.44544296,1.720513821,2.276252588,135.9099915,17582.05039,10,2.524225467
AT_0000041,1994,263.35,1158.01,645.62,8.878334427,591.10802,14.3604,46.7104,417.6311,765.3816223,2.793208968,29.32330687,19.40227318,42.84999847,35.69610214,1.079206453,21.23008232,1.555638909,2.273364307,137.300351,17834.09063,10,2.440864528
AT_0000050,1989,1304.44,1744.74,524.53,9.618333626,521.9066833,14.2812,46.4896,44.2723,1181.691788,4.178821474,28.87048008,21.875,38.1875,27.4285717,2.750834346,33.16750031,2.380555391,2.28145835,136.8380554,32356.30273,10,3.384610294
AT_0000050,1990,1261.44,1739.21,536.23,9.618333626,533.1933533,14.2812,46.4896,44.2723,1181.691788,4.178821474,28.87048008,21.875,38.1875,27.4285717,2.750834346,33.11638947,2.422916651,2.31865,137.0944427,32538.84297,10,3.35730614
AT_0000050,1991,1268.61,1765.77,531.22,9.618333626,529.4666931,14.2812,46.4896,44.2723,1181.691788,4.178821474,28.87048008,21.875,38.1875,27.4285717,2.750834346,33.29944534,2.482499838,2.33275,136.260556,33242.79063,10,3.668289888
AT_0000050,1992,1264.9,1746.96,545.33,9.618333626,539.1100281,14.2812,46.4896,44.2723,1181.691788,4.178821474,28.87048008,21.875,38.1875,27.4285717,2.750834346,32.76138954,2.520972013,2.344691699,137.6977814,33578.59922,10,2.906738682
AT_0000050,1993,1218.44,1768.83,548.95,9.618333626,541.7733582,14.2812,46.4896,44.2723,1181.691788,4.178821474,28.87048008,21.875,38.1875,27.4285717,2.750834346,32.62444496,2.701527834,2.336816699,137.8430573,33887.46602,10,2.804120031
AT_0000050,1994,1225.6,1793.89,569.85,9.618333626,561.1700195,14.2812,46.4896,44.2723,1181.691788,4.178821474,28.87048008,21.875,38.1875,27.4285717,2.750834346,32.42027855,2.504999876,2.341591699,139.0916687,34298.64375,10,2.743609188
AT_0000061,1989,324.17,1059.54,618.04,9.736666107,595.3786865,16.0021,47.3854,274.9677,857.1152861,2.930163059,20.64209525,18.5892849,45.50893021,33.4375,1.523470993,45.19449997,2.699583292,2.39978335,132.8973358,10727.59551,10,3.597385321
AT_0000061,1990,314.77,1052.88,634.63,9.736666107,612.1193604,16.0021,47.3854,274.9677,857.1152861,2.930163059,20.64209525,18.5892849,45.50893021,33.4375,1.523470993,45.41038818,2.731527805,2.43846792,133.3779999,10981.46523,10,3.7910249
AT_0000061,1991,313.6,1100.69,630.65,9.736666107,614.0093628,16.0021,47.3854,274.9677,857.1152861,2.930163059,20.64209525,18.5892849,45.50893021,33.4375,1.523470993,46.28577576,2.733777761,2.457756006,132.1403351,11403.12031,10,3.943506823
AT_0000061,1992,302.68,1081.73,656.09,9.736666107,614.7467041,16.0021,47.3854,274.9677,857.1152861,2.930163059,20.64209525,18.5892849,45.50893021,33.4375,1.523470993,44.72960892,2.865971804,2.473827441,134.5293335,11754.16387,10,3.039468312
AT_0000061,1993,293.63,1081.43,658.97,9.736666107,616.311377,16.0021,47.3854,274.9677,857.1152861,2.930163059,20.64209525,18.5892849,45.50893021,33.4375,1.523470993,44.14099731,2.926028013,2.45760957,134.5491699,12046.61406,10,3.020190966
AT_0000061,1994,272.49,1063.67,679.49,9.736666107,628.3406982,16.0021,47.3854,274.9677,857.1152861,2.930163059,20.64209525,18.5892849,45.50893021,33.4375,1.523470993,43.17433167,2.739249945,2.471717969,136.2371124,12305.28359,10,2.981785719
AT_0000063,1989,359.56,1060.34,611.1,8.681667233,593.1567017,15.5104,47.2521,81.2051,841.1580451,2.893465775,21.26970654,25.08333397,38.64583206,32.7142868,1.274793501,36.59638901,2.214305639,2.705049902,132.7558319,15997.77559,10,3.832476463
AT_0000063,1990,325.85,1053.21,626.9,8.681667233,610.983374,15.5104,47.2521,81.2051,841.1580451,2.893465775,21.26970654,25.08333397,38.64583206,32.7142868,1.274793501,36.98277817,2.233333349,2.722966553,133.1736115,16510.53691,10,4.189626136
AT_0000063,1991,333.34,1099.96,624.17,8.681667233,614.4766968,15.5104,47.2521,81.2051,841.1580451,2.893465775,21.26970654,25.08333397,38.64583206,32.7142868,1.274793501,37.59944458,2.243055582,2.746544336,132.0399994,17303.81719,10,4.585498964
AT_0000063,1992,319.23,1088.09,649.15,8.681667233,617.9433472,15.5104,47.2521,81.2051,841.1580451,2.893465775,21.26970654,25.08333397,38.64583206,32.7142868,1.274793501,36.15555611,2.374166489,2.778212451,134.2863922,17966.30723,10,3.335203708
AT_0000063,1993,318.36,1085.66,653.65,8.681667233,618.8633423,15.5104,47.2521,81.2051,841.1580451,2.893465775,21.26970654,25.08333397,38.64583206,32.7142868,1.274793501,35.76666756,2.45319438,2.769091699,134.2627808,18572.81172,10,3.236163709
