no,date,R,PPT,PET,tas,AET,LON,LAT,AREA,ELE,SLP,RIVER,CLAY,SAND,SILT,CTI,SW,SPEED,LAI,SRAD,CO2,Cluster,n
BR_0000027,2002,900.7483479,1648.293422,1095.862891,25.51668818,979.6835815,-72.7411,-8.2672,22316.15,275.5973244,0.213156625,35.28614506,32.14546967,32.77437592,34.65898514,3.3539797,118.4723724,0.774496913,5.744774805,158.9109131,178.0539093,2,2.6266019944020678
BR_0000027,2003,941.9771204,1643.4884,1065.990405,25.51668818,965.0104858,-72.7411,-8.2672,22316.15,275.5973244,0.213156625,35.28614506,32.14546967,32.77437592,34.65898514,3.3539797,122.5778305,0.758853018,5.746465039,154.3258759,182.4724213,2,2.7092480698697403
BR_0000027,2004,901.1388267,1567.167097,1052.557104,25.51668818,958.506897,-72.7411,-8.2672,22316.15,275.5973244,0.213156625,35.28614506,32.14546967,32.77437592,34.65898514,3.3539797,124.6472839,0.745561242,5.750549316,152.7122833,187.5090149,2,2.9137508596519726
BR_0000027,2005,873.1999981,1548.220683,1056.221899,25.51668818,926.7322754,-72.7411,-8.2672,22316.15,275.5973244,0.213156625,35.28614506,32.14546967,32.77437592,34.65898514,3.3539797,119.149794,0.763531923,5.746217383,153.518515,195.242215,2,2.4928673390733516
BR_0000027,2006,835.2587066,1684.848741,1074.008887,25.51668818,935.8109863,-72.7411,-8.2672,22316.15,275.5973244,0.213156625,35.28614506,32.14546967,32.77437592,34.65898514,3.3539797,117.9262756,0.810902464,5.734448438,156.8262054,200.116507,2,2.249355104568942
BR_0000027,2012,1015.456687,1715.853814,1059.177344,25.51668818,944.7230957,-72.7411,-8.2672,22316.15,275.5973244,0.213156625,35.28614506,32.14546967,32.77437592,34.65898514,3.3539797,120.274025,0.881493771,5.74267998,153.7863373,279.1474792,2,2.3945829173895796
BR_0000030,1994,832.83,1816.86,1115.86,26.14135017,1029.227515,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,130.8974487,0.788082302,5.653668262,166.6791748,841.9551025,2,2.806452285083323
BR_0000030,1996,827.39,1937.2,1125.89,26.14135017,1039.610547,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,130.4028687,0.812470138,5.656062402,166.0957794,925.9984741,2,2.659374701240279
BR_0000030,1997,818.09,1981.14,1121.82,26.14135017,1039.814697,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,130.0078766,0.824335873,5.658218066,164.2554688,983.3159912,2,2.6441920649164845
BR_0000030,2003,802.04,1755.6,1048.22,26.14135017,965.1653564,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,130.6592484,0.698387861,5.689490527,151.7868561,1181.74939,2,2.69479201468635
BR_0000030,2012,889.36,1820.35,1049.05,26.14135017,949.153186,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,127.3104141,0.918771446,5.680427441,152.0602417,1580.497095,2,2.381579561030011
BR_0000030,2013,937.17,1725.28,1060.3,26.14135017,959.9518555,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,126.2732681,0.902472615,5.711055762,153.501236,1616.638062,2,2.551493559665213
BR_0000030,2014,963.86,1721.28,1063.58,26.14135017,955.7524902,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,125.5121902,0.915815175,5.728692578,153.9579376,1703.560962,2,2.478100016751672
BR_0000030,2015,1082.84,1665.07,1056.0,26.14135017,956.3033081,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,127.3215134,0.823922575,5.686941992,152.4739716,1868.201782,2,2.6447434104521523
BR_0000030,2016,1149.02,1550.9,1068.48,26.14135017,956.5551636,-72.6604,-7.6354,38019.14,255.3475687,0.205045427,36.39608381,32.49028397,32.671772,34.25868607,3.439082866,123.6464905,0.929131329,5.755329395,154.5647064,2084.733203,2,2.7614631549054454
BR_0000050,1989,1577.6,2023.95,1134.71,24.00473404,996.4327148,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,107.7088272,1.405380845,4.756838281,167.8010651,1268.323413,7,2.0502850887137893
BR_0000050,1990,1591.88,2077.04,1124.67,24.00473404,994.6927734,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.0102661,1.330994129,4.750426855,165.5792389,1298.325732,7,2.0441393116000803
BR_0000050,1991,1565.92,2027.16,1120.66,24.00473404,986.96427,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.5984253,1.377319574,4.731837402,164.3833893,1314.030762,7,2.047653122825685
BR_0000050,1992,1510.31,1996.7,1107.83,24.00473404,974.7845825,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.7987717,1.356111884,4.72383877,162.4030029,1324.611865,7,2.0471101199184982
BR_0000050,1993,1549.86,2035.23,1097.9,24.00473404,974.4300659,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,110.5056381,1.364497185,4.724227832,160.6214264,1337.947217,7,2.06562250212884
BR_0000050,1994,1563.31,2077.41,1104.49,24.00473404,982.7373047,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,111.0148392,1.372250199,4.714428711,161.5250885,1372.293408,7,2.060439918611723
BR_0000050,1995,1530.94,2054.17,1114.22,24.00473404,981.1245239,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.8591812,1.366733789,4.709500781,163.04487,1434.159082,7,2.013111460147126
BR_0000050,1996,1547.21,2119.31,1111.06,24.00473404,979.6036377,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.1720993,1.364193678,4.721073926,162.5954559,1522.986914,7,1.9661347691606699
BR_0000050,1997,1580.16,2190.8,1111.57,24.00473404,979.4251343,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.2672241,1.406197786,4.723769434,162.3051636,1616.353442,7,1.9105434997253459
BR_0000050,1998,1527.82,2193.1,1120.83,24.00473404,982.730835,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,107.7732147,1.374303699,4.726652148,163.5634521,1697.149634,7,1.8874517435454155
BR_0000050,1999,1497.74,2224.0,1112.76,24.00473404,977.202002,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.0059509,1.371240139,4.735252734,162.4240082,1766.485498,7,1.8670540973417296
BR_0000050,2000,1537.75,2310.84,1103.64,24.00473404,977.4044189,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,110.17715,1.378371716,4.751362402,160.9343262,1808.809985,7,1.858430041140912
BR_0000050,2001,1531.95,2326.61,1097.15,24.00473404,969.6302734,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,110.6949005,1.337653518,4.7579625,159.3867523,1817.922852,7,1.8270310802986187
BR_0000050,2002,1567.92,2373.18,1089.7,24.00473404,961.4167725,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,111.2588547,1.363375187,4.762855273,158.0382599,1819.32561,7,1.7813279359034968
BR_0000050,2003,1618.16,2396.17,1072.43,24.00473404,951.3405884,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,112.6493912,1.390187144,4.766342578,155.2088593,1821.225244,7,1.7839841809960633
BR_0000050,2004,1607.79,2352.13,1068.56,24.00473404,944.0027344,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,112.1766739,1.425824523,4.774428906,154.3775421,1860.274902,7,1.7761787951588024
BR_0000050,2005,1578.14,2304.56,1071.34,24.00473404,934.2545288,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.2616409,1.483711958,4.782045508,154.6477844,1906.395874,7,1.7260080429620055
BR_0000050,2006,1565.26,2344.32,1078.63,24.00473404,943.9662598,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.8746902,1.491415143,4.777647461,156.1102631,1968.310913,7,1.7342391701189033
BR_0000050,2007,1538.26,2309.24,1079.4,24.00473404,939.9919434,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.4483719,1.470517159,4.785877832,156.3674652,2050.363403,7,1.724752640292415
BR_0000050,2008,1516.14,2322.92,1081.06,24.00473404,938.8734985,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,107.5548691,1.455746293,4.777883691,156.800766,2174.106177,7,1.7039916191805766
BR_0000050,2009,1537.05,2347.92,1079.83,24.00473404,940.3014771,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.0682587,1.458086014,4.770595703,156.1704102,2282.438672,7,1.7048304967511239
BR_0000050,2010,1533.17,2358.36,1081.57,24.00473404,946.8739502,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.2438339,1.497967005,4.771182617,156.0132538,2434.837012,7,1.732372228628314
BR_0000050,2011,1523.92,2314.47,1077.69,24.00473404,942.0153076,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,108.9754272,1.469864249,4.771325195,154.9064362,2591.49668,7,1.7418279708406164
BR_0000050,2012,1532.52,2267.82,1081.24,24.00473404,948.5814453,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.3236221,1.505852818,4.772795313,155.405661,2766.558398,7,1.794262153323745
BR_0000050,2013,1541.71,2206.33,1084.81,24.00473404,953.1409912,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,110.3411804,1.490482092,4.796649609,155.5670135,2912.358789,7,1.8456314692734268
BR_0000050,2014,1550.24,2175.28,1087.56,24.00473404,951.7182617,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.7264252,1.526632547,4.797400391,155.7071472,3070.25835,7,1.8428190138610963
BR_0000050,2015,1595.41,2139.28,1084.44,24.00473404,947.1799194,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.6905792,1.507347941,4.793627344,154.9731323,3148.386865,7,1.8501262967561383
BR_0000050,2016,1600.19,2106.31,1094.04,24.00473404,956.3968994,-63.0271,-4.0563,1781442.0,728.6944966,1.499937026,44.42264851,28.38157082,39.03676224,31.24217606,3.299432371,109.5120209,1.549550056,4.810754883,156.4048737,3247.454541,7,1.8916724652322179
BR_0000061,2014,1170.52,1675.12,1101.22,25.51963959,965.8020264,-68.7479,-11.0104,7215.198,285.7605057,0.229755794,28.15077122,27.59090996,36.40836716,35.17118073,3.330855004,202.7434265,1.237833858,5.622131934,154.4029449,7253.809766,2,2.3858156669547896
BR_0000062,1989,966.14,1605.17,1154.62,25.60305634,1015.156921,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,210.041684,1.130856872,5.565693359,169.0222504,2675.266748,2,2.6849822617212618
BR_0000062,1990,1035.08,1622.65,1147.72,25.60305634,1009.071606,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,209.1090057,0.959343016,5.561017578,168.3728271,2766.949316,2,2.6276410678596402
BR_0000062,1991,924.0,1624.48,1143.24,25.60305634,1010.053125,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,210.0085022,1.102861643,5.531640625,167.162677,2831.701563,2,2.6681783426965864
BR_0000062,1992,960.79,1600.57,1124.58,25.60305634,1000.77793,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,210.4072937,1.05317831,5.516645117,164.1389343,2906.818457,2,2.752398811578137
BR_0000062,1993,967.85,1588.72,1110.92,25.60305634,997.7640503,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,212.9232391,1.05895102,5.519725391,161.7644196,3002.326025,2,2.859260384445216
BR_0000062,1994,923.2,1673.24,1129.27,25.60305634,1016.278052,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,216.0580872,1.080149412,5.497251367,164.0742493,3103.989941,2,2.7603869517400708
BR_0000062,1999,801.33,1633.64,1135.7,25.60305634,990.5572754,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,205.6064789,1.037726879,5.52731875,162.0539246,4050.466699,2,2.4865189111697172
BR_0000062,2000,838.82,1866.51,1121.2,25.60305634,988.0301392,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,213.9973114,1.100756884,5.540618066,159.8122498,4189.454248,2,2.2154877881860635
BR_0000062,2001,848.19,2029.54,1109.57,25.60305634,976.8541382,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,216.7864624,0.954573154,5.53806377,158.0965088,4302.661328,2,2.0253481582948307
BR_0000062,2002,805.45,2151.79,1101.08,25.60305634,967.7789063,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,220.2325836,1.048252463,5.539627637,157.3750824,4382.384277,2,1.906053903975168
BR_0000062,2003,809.11,2147.75,1078.7,25.60305634,961.2272949,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,219.847702,1.058417559,5.539419238,153.9678497,4415.16123,2,1.977797709500043
BR_0000062,2012,905.92,1794.4,1101.68,25.60305634,971.176416,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,207.4578583,1.206058025,5.504015625,155.1055725,5998.095703,2,2.267116645564135
BR_0000062,2013,959.01,1738.58,1101.8,25.60305634,980.1538086,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,210.8525482,1.198207498,5.532398828,154.7204315,6122.380762,2,2.4341762329268732
BR_0000062,2014,833.47,1673.4,1100.42,25.60305634,964.8367798,-68.5021,-10.6521,8294.803,277.0823952,0.249156663,28.76996385,28.06418419,35.59231949,35.39942551,3.186160002,206.2427948,1.247999787,5.562944043,153.9846191,6570.71084,2,2.3839365214481383
BR_0000086,1989,1462.82,2029.59,1140.83,24.39529839,1003.855078,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,120.2943787,1.384960175,4.81573291,167.7673981,1311.622412,7,2.0709831895509034
BR_0000086,1990,1477.52,2075.93,1131.12,24.39529839,1002.440869,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,121.6921967,1.311412215,4.809607422,165.646521,1346.428003,7,2.0715693140660756
BR_0000086,1991,1465.38,2032.57,1127.82,24.39529839,995.4363647,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,121.2308151,1.361928344,4.790094629,164.5872223,1365.629248,7,2.0715266309133646
BR_0000086,1992,1418.89,2005.68,1115.77,24.39529839,984.6552856,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,121.4248856,1.341757059,4.78172793,162.7826263,1378.289966,7,2.0750487156461728
BR_0000086,1993,1448.7,2047.6,1107.14,24.39529839,985.0629028,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,123.1004272,1.347946525,4.782185645,161.2593567,1390.363477,7,2.090160775752348
BR_0000086,1994,1456.85,2081.71,1113.95,24.39529839,993.2838623,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,123.5754791,1.355593562,4.771483594,162.2259399,1424.701929,7,2.089713449867866
BR_0000086,1995,1430.87,2058.88,1123.85,24.39529839,991.2585571,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,121.1634995,1.35329926,4.764581934,163.7599518,1487.735449,7,2.036881078622422
BR_0000086,1996,1443.78,2123.65,1120.4,24.39529839,990.0451294,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,121.7742203,1.342403889,4.776713574,163.2960449,1576.276538,7,1.9930981349404278
BR_0000086,1997,1483.18,2189.48,1121.29,24.39529839,989.132019,-60.6104,-3.3396,2200203.0,614.065245,1.280547932,42.85879217,29.23755455,38.83401489,30.6551342,3.362545996,120.6671967,1.391850471,4.779189844,163.0233276,1672.962354,7,1.9329431314436516
