no,date,R,PPT,PET,tas,AET,LON,LAT,AREA,ELE,SLP,RIVER,CLAY,SAND,SILT,CTI,SW,SPEED,LAI,SRAD,CO2,Cluster,n
AT_0000002,1989,271.05,829.1,575.47,8.998333263,539.8714417,14.9604,48.7604,277.7157,704.0591155,1.455045437,19.69389216,10.71875,66.19642639,21.2991066,1.350084643,44.46876221,2.247999907,2.255700635,125.9056152,17251.02227,12,3.657121674
AT_0000002,1990,239.23,805.91,592.24,8.998333263,540.5828674,14.9604,48.7604,277.7157,704.0591155,1.455045437,19.69389216,10.71875,66.19642639,21.2991066,1.350084643,43.41438141,2.346095085,2.280957129,126.401329,16927.68105,12,3.344315628
AT_0000002,1991,232.16,812.02,589.56,8.998333263,541.5428589,14.9604,48.7604,277.7157,704.0591155,1.455045437,19.69389216,10.71875,66.19642639,21.2991066,1.350084643,44.6910965,2.241857052,2.279526221,126.2535248,16739.73145,12,3.408300947
AT_0000002,1992,196.16,779.38,617.28,8.998333263,538.6434204,14.9604,48.7604,277.7157,704.0591155,1.455045437,19.69389216,10.71875,66.19642639,21.2991066,1.350084643,42.65209579,2.532547474,2.286776172,128.9404755,16477.21387,12,2.974445015
AT_0000002,1993,196.81,759.85,620.46,8.998333263,539.4045654,14.9604,48.7604,277.7157,704.0591155,1.455045437,19.69389216,10.71875,66.19642639,21.2991066,1.350084643,42.8455246,2.618095398,2.274369043,129.3384735,16405.75957,12,3.069545604
AT_0000002,1994,185.02,737.35,638.61,8.998333263,516.337146,14.9604,48.7604,277.7157,704.0591155,1.455045437,19.69389216,10.71875,66.19642639,21.2991066,1.350084643,39.78933487,2.485190392,2.267076758,131.1667099,16587.65723,12,2.493238015
AT_0000010,1989,751.5,1257.29,597.31,10.51666641,590.0700073,13.4187,48.1312,23.8117,622.5141032,1.276046067,17.06439931,21.625,40.59375,35.125,0.398296475,32.74166565,2.047916651,2.695937549,125.6350021,43980.40234,12,4.018833551
AT_0000010,1990,724.66,1237.45,611.83,10.51666641,599.3900146,13.4187,48.1312,23.8117,622.5141032,1.276046067,17.06439931,21.625,40.59375,35.125,0.398296475,32.12666588,2.164583445,2.727762598,125.8400009,43311.15547,12,3.631750717
AT_0000010,1991,738.08,1251.11,608.2,10.51666641,594.3100098,13.4187,48.1312,23.8117,622.5141032,1.276046067,17.06439931,21.625,40.59375,35.125,0.398296475,31.78916588,2.123333454,2.769320898,125.893338,43495.33203,12,3.450870137
AT_0000010,1992,699.73,1218.09,635.42,10.51666641,604.5500122,13.4187,48.1312,23.8117,622.5141032,1.276046067,17.06439931,21.625,40.59375,35.125,0.398296475,30.47249908,2.26916647,2.7791625,127.7600037,43273.17109,12,2.875285254
