no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_2277,1985,287.6137268,3.750234876,171.9005864,1235.290894,1371.03738,24.14872202,1.579206348,2309.104146,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.9091089,1021.458359,213.8325354
element_2277,1986,287.9503168,3.785632843,171.0058835,1296.530425,1433.839368,24.48266493,1.598130139,2458.167362,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.8126042,1061.868187,234.6622381
element_2277,1987,287.4066376,3.808181845,168.8217847,1288.619959,1383.354159,24.57054552,1.513681701,2876.608505,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.8621402,1046.097119,242.5228403
element_2277,1988,287.769242,3.75046215,171.1693741,1205.32095,1393.10297,24.51228273,1.577652643,3067.033441,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.7980313,1004.139082,201.1818683
element_2277,1989,287.9902831,3.864856483,171.9183091,1188.471328,1415.041927,24.34870512,1.521268211,3062.31,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.9517167,1014.071187,174.4001407
element_2277,1990,287.8421797,3.905346857,172.1128058,1162.092087,1433.359091,24.22825259,1.544222337,3314.449248,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.9008281,1000.453573,161.6385142
element_2277,1991,287.8273423,3.880661728,169.2632723,1255.824448,1453.74349,24.56733884,1.510160337,2346.029416,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.884776,1054.4537,201.370748
element_2277,1992,287.1125545,3.830167435,167.5718782,1196.254081,1351.573846,24.70954274,1.518825623,2392.02335,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.873115,993.6748744,202.5792066
element_2277,1993,287.4137654,3.900652177,169.9220252,1205.163118,1415.884155,24.44438192,1.510719702,2376.337365,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.8349571,1013.654275,191.5088434
element_2277,1994,287.8170206,3.878426048,172.506687,1296.078767,1412.973697,24.60556988,1.48296386,2360.141262,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.905389,1063.160349,232.9184177
element_2277,1995,288.0150767,3.803910205,165.7453509,1373.445517,1429.800099,22.71710617,1.556749063,2554.872626,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.8771343,1100.683726,272.7617907
element_2277,1996,287.8974345,3.856632993,168.5268759,1356.218999,1447.84071,22.62146663,1.558848544,2551.265466,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.864668,1098.444059,257.7749403
element_2277,1997,287.9232306,3.823132297,170.410699,1272.537033,1465.311847,22.55627639,1.516555814,2293.831558,3.577023806,0.013893231,1909198.6,5.977595562,23.35478345,120.0090464,32.34554981,20.41937065,31.27332687,42.29411697,7,2.9015455,1067.676508,204.8605247
