no,ELE,SLP,TMP,PPT,AREA,LON,LAT,Cluster
AR_0000031,3087.71,6.59,5.65,437.38,2753,-69.33,-34.67,4
AT_0000002,704.06,1.46,7.96,838.34,267.6,14.96,48.76,12
AT_0000003,2347.58,10.27,3.43,1408.09,80.7,12.25,47.23,6
AT_0000005,1615.82,7.93,7.85,1570.32,65.5,13.158333,47.591389,6
AT_0000007,1246.39,8.16,6.61,1342.94,107.4,12.698333,47.585556,6
AT_0000010,622.51,1.28,9.54,1231.28,23.5,13.42,48.13,12
AT_0000012,1542.74,5.11,3.74,1322.84,150.8,12.736389,47.366111,6
AT_0000015,1455.14,4.92,3.95,1389.23,53.4,13.02,47.34,9
AT_0000017,1161.66,4.04,6.42,1491.23,171.7,13.39,47.57,9
AT_0000026,1577.86,7.78,3.43,1292.02,134.5,12.14,47.42,6
AT_0000029,1945.69,7.03,4.39,1147.18,61.5,11.46,47.12,6
AT_0000032,1268.67,6.22,4.3,1271.16,147.4,12.4031,47.52,6
AT_0000035,1081.15,3.83,7.07,1214.78,727.7,15.473,47.526,9
AT_0000040,1316.32,4.79,6.97,1457.67,130.3,14.55,46.94,6
AT_0000041,765.38,2.79,7.98,1199.91,432.3,14.36,46.71,10
AT_0000048,2060,7.57,4.92,1704.97,85.3,13.17,46.98,6
AT_0000050,1181.69,4.18,8.67,1852.93,44,14.28,46.49,10
AT_0000052,1321.99,5.98,5.73,1403.51,265.6,14.91,47.39,6
AT_0000053,1172.5,5.05,6.29,1214.71,167.3,15.05,47.38,6
AT_0000054,1180.34,4.09,6.75,1304.46,229.4,15.594,47.657,9
AT_0000057,1828.43,4.66,4.37,1729.81,102.1,13.684,47.134,9
AT_0000060,267.59,1.2,10.31,654.09,383.7,16.638889,47.852222,12
AT_0000061,857.12,2.93,8.72,1084.22,268.5,16,47.38,10
AT_0000063,841.16,2.89,7.71,1077.67,84.2,15.51,47.25,10
AT_0000066,661.24,2.07,8.42,981.95,498.9,15.76,47.04,10
AT_0000071,721.07,2.06,6.46,991.57,51.5,15.11,47.94,10
AT_0000074,460.29,2.62,8.93,810.67,37.6,15.33,48.12,10
AT_0000076,836.06,4.36,6.46,1142.92,42.2,15.38,47.95,10
AT_0000082,683.99,2.5,8.15,857.87,284.1,16.18,47.86,10
AT_0000084,1152.59,5.24,7.03,1250.15,80,15.73,47.77,6
AT_0000087,921.43,2.68,8.43,1077.67,96.5,16.1,47.58,10
AT_0000092,925.9,5.18,7.97,1099.48,114.4,16.09,47.59,6
AT_0000097,740.91,2.72,7.85,1383.68,109,13.337778,47.832222,10
AT_0000100,832.45,4.01,7.45,1349.53,445,13.92,48.05,10
AT_0000102,447.53,1.33,8.08,1003.24,363.5,14.27,48.2,12
AT_0000104,1207.08,5.73,6.68,1301.11,251.4,14.746667,47.605278,6
AT_0000106,848.44,3.63,7.04,1112.82,168.6,14.45,47.89,10
AT_0000108,1195.78,6.73,6.99,1410.91,40.2,14.33,47.67,6
AT_0000121,702.79,1.42,8.86,1053.54,227.4,14.138889,48.366111,12
AT_0000137,408.21,0.88,8.72,848.22,190.1,15.9436,47.0828,12
AT_0000138,1102.06,2.67,6.46,1283.8,280,15.3056,47.7417,10
AT_0000139,1142.38,5.25,6.64,1284.33,5915.4,14.4267,48.0394,6
AT_0000140,1420.49,5.69,4.28,1495.98,134.5,13.4258,47.3828,6
AT_0000144,823.28,2.51,7.81,1023.75,95970,15.4622,48.3833,10
AT_0000157,2817.13,6.95,2.51,1018.42,72.5,11.0197,46.865,4
AT_0000164,2596.42,5.45,3.79,1628.26,74.5,12.805,47.047,4
AT_0000170,1064.99,3.8,6.88,1301.89,9480,15.636,46.711,10
AT_0000173,1256.91,4.69,6.58,1320.59,6791.5,15.319,47.164,9
AT_0000174,1296.05,4.81,6.58,1320.59,6214,15.283,47.411,6
AT_0000176,1745.68,5.44,4.39,1709.42,377.9,13.804,47.135,6
AT_0000178,1787.37,5.68,4.4,1767.34,77.1,13.705,47.177,6
AU_0000026,358.9159886,2.909157827,25.68397502,2093.658462,243.5202712,145.208518,-15.687795,3
AU_0000029,694.7470296,4.28206,24.53888908,3022.312821,19.26184417,145.349914,-16.42729,3
AU_0000030,364.2003677,4.4342,24.53888908,2435.694872,18.24074451,145.337975,-16.390311,3
AU_0000037,945.8224487,4.12717,22.876069,2350.194872,17.96538599,145.5981667,-17.13433333,11
AU_0000038,813.0815348,1.209838033,22.41410285,1776.34359,51.21610889,145.54825,-17.22863889,11
AU_0000039,728.7190145,0.577885,22.876069,2206.441026,20.40101051,145.5768611,-17.26313889,3
AU_0000040,652.2157062,1.255363589,22.86678505,1759.636733,1260.971934,145.4431389,-16.84172222,11
AU_0000083,76.41063377,1.319126791,24.08824754,1100.804487,160.4782343,146.7025667,-19.31789167,2
AU_0000127,342.4971743,3.885700886,21.8891942,1584.835385,347.0155474,148.7435527,-21.178275,10
AU_0000140,166.0543821,1.082866762,21.88531739,699.8892552,498.2744163,150.3436111,-23.48352778,5
AU_0000166,318.3585182,0.870917678,21.66816257,728.0788462,63.79179879,150.37232,-23.6574,5
AU_0000191,593.9810937,2.455821153,19.86423096,597.0965385,380.529054,148.38813,-24.97753,11
AU_0000193,135.4215141,0.888134837,11.96474371,1254.828974,65.33097331,144.6880538,-41.12975785,12
AU_0000209,331.3691156,0.700455266,20.40785457,708.2791206,30672.32379,151.9894613,-25.28507017,5
AU_0000210,197.4741588,1.321765326,20.89647293,800.2589286,692.3395964,151.9881369,-25.38092052,5
AU_0000212,245.2067359,1.433344955,21.30256413,793.8144231,155.3707496,151.7974253,-25.23432856,5
AU_0000221,313.3366738,0.642139318,20.92751112,699.1424385,430.8188076,151.2737715,-25.21434014,5
AU_0000226,462.4729055,0.863841259,18.37603784,743.5034493,1367.161417,152.0575293,-26.47004314,5
AU_0000233,391.6949436,0.597359783,19.55785795,661.8983158,5244.735005,151.3328367,-25.78592226,5
AU_0000253,436.3938163,0.45601,19.05192326,1482.84359,19.45703519,152.8730414,-26.759133,5
AU_0000256,277.8535156,1.45238,19.05192326,1481.991026,28.84689938,152.9040222,-26.58957031,5
AU_0000296,459.09011,1.004442306,18.37490043,756.4484615,963.4806915,152.1376028,-26.73946389,5
AU_0000307,398.3234905,2.033381082,18.27165203,758.7275458,377.7089471,152.1145,-27.54228,5
AU_0000311,322.718422,1.718544163,18.33524068,769.5584592,2531.969177,152.517,-27.4536,5
AU_0000315,271.4700414,2.000735172,18.05213669,807.7918803,460.2516549,152.3889972,-27.55316389,5
AU_0000317,405.8975439,2.019871246,18.0258121,725.3196581,165.4613184,152.1327,-27.6047,5
AU_0000323,99.00175476,1.03902,20.54850466,1460.653846,18.7540939,153.4891667,-27.535,5
AU_0000345,154.2259019,1.75149,18.92670988,1555.455128,37.88408894,153.35,-28.08527778,5
AU_0000377,465.0937503,3.032304928,11.19561005,749.4015929,522.4719044,147.729896,-41.78741719,10
AU_0000420,341.4452473,2.46247105,18.5306017,1236.161139,896.0190541,152.9962,-28.6206,11
AU_0000446,739.703206,1.500753988,16.78127272,1447.871067,1692.138596,152.6866,-29.923,11
AU_0000469,1087.472107,1.055910105,13.96506407,767.8009615,93.3155166,151.67005,-30.51,8
AU_0000472,1327.256458,0.50846752,13.75085486,930.6527778,119.6320682,151.7261,-30.2112,8
AU_0000473,1144.805196,1.623989344,13.75085491,787.5384615,44.00954263,151.6156,-30.4645,8
AU_0000480,322.4064325,2.099892592,17.08688027,1454.234564,234.2604587,152.5942,-31.4224,5
AU_0000544,166.3686142,0.349575,17.68931638,673.4128205,9.020131925,151.0004,-32.3872,5
AU_0000547,451.3585866,2.190325346,16.68636762,755.2601026,238.3927338,150.7846,-32.0113,5
AU_0000549,258.1630441,1.571149698,16.76410237,798.085641,256.7953327,151.0491,-32.4849,5
AU_0000551,453.8258541,1.723491831,16.4647844,765.9746492,14300.22049,151.0488,-32.531,5
AU_0000553,260.3847071,1.571151078,16.76410237,815.9221368,253.7732491,151.0586,-32.4702,5
AU_0000554,429.1608654,1.676336603,16.39317351,778.4256281,16183.22665,151.1375,-32.5595,5
AU_0000555,243.2567107,1.193920304,17.40495158,897.1440335,1066.002291,151.064905,-32.840398,5
AU_0000557,574.9088639,4.189042592,17.24358965,1318.454701,61.81925715,151.6642,-32.2088,10
AU_0000581,43.35432307,0.268718,17.40128238,846.8641026,9.767463549,150.7615667,-33.76923333,5
AU_0000582,62.12164807,0.240014017,17.40128238,862.008547,42.2745336,150.7926333,-33.7529,5
AU_0000585,978.5664469,0.906187,14.58739334,806.6641026,15.52431705,150.0573,-33.3568,8
AU_0000593,58.88583374,0.385942325,17.40128238,897.9948718,34.77496684,150.9445,-33.8497,5
AU_0000595,78.29716284,0.517035747,16.34850443,945.2665064,97.79000108,150.8869222,-33.97828333,5
AU_0000596,91.80302938,0.530569822,16.34850451,974.7508547,50.9917948,150.8369167,-34.0267,5
AU_0000597,45.89234559,0.388138682,17.40128238,878.8055556,35.11635377,150.9392167,-33.88241667,5
AU_0000614,326.1273303,2.878218243,13.93071595,865.6381197,165.8290713,150.0354,-35.7125,10
AU_0000616,496.8985778,4.701524278,13.20940182,760.8391026,120.9870154,149.807,-35.6568,10
AU_0000675,1237.471003,1.975265417,10.6529596,948.18975,3092.848712,148.8292,-36.505,8
AU_0000698,1092.193069,2.173137665,10.99978628,902.7679487,30.21694497,147.92764,-36.95470656,8
AU_0000699,686.7655762,2.722772572,11.91965834,721.4465201,180.379292,147.8258389,-37.48138705,10
AU_0000718,73.32785416,0.18715,12.93995735,616.7282051,2.525688452,146.7801402,-37.98544026,12
AU_0000735,707.34781,3.089622647,12.40038463,1004.064802,1137.64793,146.7800107,-38.00213184,10
AU_0000769,325.2933981,2.215990384,13.83084038,961.5647863,134.1795532,146.5404981,-38.2698709,10
AU_0000789,245.2465242,1.560126787,13.8811961,805.2955128,120.850166,146.8256305,-38.41769522,12
AU_0000790,244.5665588,1.04102,13.99102573,1096.065385,17.69412237,146.222519,-38.61443578,5
AU_0000825,647.0579427,1.51996,13.25897452,856.2205128,16.82100682,144.6392591,-37.31369317,12
AU_0000833,527.6627287,1.02729522,13.25897447,804.798547,315.5535983,144.8167961,-37.42711415,12
AU_0000848,480.7800964,0.431961,13.3835471,721.7192308,13.03126256,144.295,-37.61,12
AU_0000905,204.6445958,0.815846859,13.54662421,869.2135733,884.3751256,143.9356189,-38.30034039,12
AU_0000946,436.6855392,1.82261,13.26303418,1618.733333,25.35357201,143.5812749,-38.66849499,10
AU_0000959,205.0830913,0.614825164,13.42058409,933.5606838,48.83441403,143.6064658,-38.47866519,12
AU_0000962,107.7771301,0.386741485,14.38675184,605.8094017,254.2694935,144.2936358,-38.27008794,5
AU_0001019,308.4779352,1.882234966,11.06159203,614.2986645,531.294209,147.4414399,-42.73699346,12
AU_0001020,323.4975203,3.212647833,11.40042735,671.35,102.9215651,147.46672,-42.648766,10
AU_0001055,1075.470109,3.358008335,11.12713682,924.732906,120.8285964,147.5199936,-37.19320069,10
AU_0001056,652.7782075,2.757873783,13.06517105,1012.364692,791.2645244,147.8790571,-36.06551093,10
AU_0001057,742.7017196,2.814298831,12.42966789,1039.257622,976.7422825,147.9724472,-36.10647676,10
AU_0001058,943.4329247,3.534177925,11.35252867,1117.309936,212.675231,147.4331744,-36.66066154,10
AU_0001070,1305.107684,5.194984595,11.42307707,1358.278526,108.2953484,147.1600333,-36.79134421,6
AU_0001093,1027.181389,4.787057056,11.63938327,1178.629915,126.9732167,147.0643176,-36.87637952,10
AU_0001113,769.7283842,1.592963755,14.18312002,1269.510256,38.65082293,146.2184922,-36.8188125,10
AU_0001169,216.1342667,0.546523154,14.04206853,591.4226496,212.9017534,145.057643,-36.88730066,5
AU_0001215,424.9874279,0.73986827,13.4234749,709.3988166,2051.050228,144.5312227,-36.8510207,12
AU_0001223,103.1208967,0.04263274,16.00320535,427.2990385,49.14086358,144.7306592,-36.18637384,5
AU_0001236,98.85352749,0.0348414,16.00320535,407.1397436,25.71007997,144.600682,-36.12873992,5
AU_0001278,95.72882516,0.035447074,15.80946235,383.5791209,620.6520198,144.0434175,-35.88899545,5
AU_0001281,152.338094,0.22102653,15.24594456,438.4071538,1279.703587,144.184492,-35.92254445,5
AU_0001287,98.34716915,0.1224012,15.81487176,372.0109402,274.7667183,143.8261306,-36.0110411,5
AU_0001305,318.934045,1.075794468,13.37910249,617.8988462,689.1345027,143.5030939,-36.88473812,12
AU_0001333,93.71452904,0.0421088,16.50726516,398.3666667,10.41677655,144.9596,-35.6428,5
AU_0001335,104.8568822,0.02004498,16.54700837,414.5177013,829.8488656,145.0552,-35.6281,5
AU_0001338,97.92634333,0.031232948,16.5793805,403.533641,312.5889247,145.0028,-35.6209,5
AU_0001339,73.02000047,0.012205914,16.89196261,334.8141709,1007.722844,143.8001,-35.1351,5
AU_0001342,449.5545281,1.734356841,13.88762391,783.348238,54203.59617,144.7473278,-36.11971666,12
AU_0001352,92.21287478,0.052247012,16.53397477,403.1735043,73.00511677,144.9443318,-35.7366345,5
AU_0001353,95.67430687,0.107527,16.5873932,403.5615385,7.798032698,145.0911829,-35.79133989,5
AU_0001430,118.1693716,0.025625221,16.96367501,391.2614469,146.2880009,145.7833,-35.1037,5
AU_0001449,121.6359,0.024210294,17.04209426,403.0475358,1028.520012,145.7731227,-35.14838977,5
AU_0001450,209.7783889,0.397064557,16.00933112,540.1201741,7198.513869,145.9753,-35.3223,5
AU_0001487,905.6000732,1.98633717,11.14145318,716.292094,73.70404927,149.2281389,-35.54263889,8
AU_0001488,618.1677749,1.093101442,12.92222253,658.591453,47.61384905,149.1243611,-35.27444444,12
AU_0001490,977.6286546,1.791130499,11.30445505,775.3974556,9279.408059,148.94475,-35.13136111,8
AU_0001491,633.3885498,0.913366,12.92222253,712.1538462,21.59136008,149.0578056,-35.40697222,12
AU_0001494,763.5416702,1.169660432,12.9222226,680.0569801,81.1878725,149.2741,-35.1871,12
AU_0001509,570.7680572,0.977686581,15.0056391,664.0766239,21764.68832,147.4584,-33.2267,5
AU_0001514,672.9263997,1.011545338,14.76186911,748.1782793,2530.245306,148.4821,-33.584,5
AU_0001515,576.3716417,0.98801625,14.79819777,687.4774367,21392.20455,147.7744,-33.4001,5
AU_0001521,199.0849652,0.408330843,17.15155738,426.9991941,2204.517957,145.9027,-33.3824,5
AU_0001537,103.3733316,0.023450685,17.82859396,332.0718864,315.1282485,144.856509,-33.794896,5
AU_0001558,39.80492946,0.207409732,17.34059842,242.7805861,397.7592724,141.0202365,-34.08209645,5
AU_0001568,323.0560568,0.757324756,15.6155363,561.8838731,245887.1177,142.7407143,-34.60445899,5
AU_0001575,48.71042198,0.056807658,16.95854686,291.8088141,137.2283927,142.4071394,-34.56030547,5
AU_0001586,214.9269636,0.631722187,14.74242756,473.72818,7436.553391,141.8733457,-35.94442839,5
AU_0001596,236.2078529,0.715284235,14.34637346,520.6812919,6244.128013,141.9744346,-36.4083953,5
AU_0001600,295.756432,0.932269055,13.58739327,621.759707,562.1456646,142.6264964,-37.09651426,12
AU_0001601,242.0214604,0.741552137,14.19231168,542.1713762,5925.590781,142.0098631,-36.56036937,5
AU_0001604,178.2763011,0.201158578,14.92036335,466.670584,825.264995,142.8254133,-36.57132147,5
AU_0001628,743.2994898,0.905608694,15.8593861,787.0472426,6301.719877,150.9027,-29.057,5
AU_0001635,554.8717076,0.90511463,17.98715528,669.8470018,21788.97047,149.8747,-28.6078,5
AU_0001636,455.4666173,0.65762701,18.39900843,642.4807729,31596.88213,149.388,-28.6961,5
AU_0001637,437.662769,0.624354897,18.8443513,618.1474167,33629.68573,148.8085,-29.1215,5
AU_0001638,209.6207181,0.092284345,19.91997954,560.6263946,4320.385512,148.9878,-29.1274,5
AU_0001640,721.5451864,0.898123788,16.15756742,774.6464256,6664.672239,150.7817,-28.9016,5
AU_0001647,566.2911153,0.929997421,17.62577262,690.5618276,21096.83572,150.2531,-28.54638333,5
AU_0001685,668.7328329,1.112607677,16.46738153,729.4414676,12444.47086,149.883,-29.4147,5
AU_0001694,170.6404203,0.030323779,20.04797334,527.7851445,1292.555079,148.9023,-29.4773,5
AU_0001696,233.3929299,0.210725433,19.41905349,582.3420898,1395.445748,149.1565,-29.6891,5
AU_0001703,665.7501333,1.110919387,16.72323897,719.4447828,12523.20005,149.6991,-29.3995,5
AU_0001704,659.0052877,1.103158379,17.07701947,703.5234393,12727.16801,149.4525766,-29.27137023,5
AU_0001705,187.5798818,0.036181065,20.01089795,551.9654915,188.0837909,149.4307,-29.3449,5
AU_0001706,639.7106792,1.061835782,17.28915508,689.5282486,13262.08845,149.2685,-29.2233,5
AU_0001718,735.6972582,2.098666715,15.36288829,802.6053167,3091.96013,150.9264,-31.0908,10
AU_0001740,751.7392404,1.567075131,16.04252157,755.5455586,553.8455,150.7276,-30.4082,11
AU_0001759,882.1207195,2.91848109,15.04373245,877.2234188,291.1147,151.1354,-31.4303,10
AU_0001760,222.1877346,0.141308736,18.79343742,601.0893162,277.5561,149.296025,-30.31481944,5
AU_0001762,501.7183809,0.946253902,16.55870729,679.1445317,558.8609,149.872913,-31.375046,5
AU_0001763,659.2620358,2.594469529,16.17222206,758.8209936,169.0923,149.982986,-31.570469,10
AU_0001764,183.0896135,0.037269732,19.07393157,566.3294872,139.8163,149.1320222,-30.16826389,5
AU_0001797,193.8014819,0.038184,19.18354724,478.1096154,31.09582,147.759,-31.6567,5
AU_0001798,193.8014819,0.0356836,19.18354724,478.1096154,32.00564,147.7592,-31.655,5
AU_0001810,529.6504959,0.859064178,16.87279195,650.461742,584.951,148.5521793,-32.70573141,5
AU_0001817,579.3034539,0.986345361,16.31409359,658.8277706,28931.27,147.6935,-31.3851,5
AU_0001823,572.1938933,0.975603,16.74746946,632.6572626,29575.47,147.5071,-30.8954,5
AU_0001828,563.6846596,0.958910282,16.98149642,623.6986468,30289.98,147.597,-30.5602,5
AU_0001833,154.3809097,0.028967921,19.3952043,414.5720085,256.7014,147.5149,-30.8072,5
AU_0001835,668.9567117,1.327910067,15.26506368,746.934359,2026.437,149.57,-32.5086,5
AU_0001836,567.0068293,0.964395473,16.83163706,629.2695938,29996.94,147.5249,-30.7603,5
AU_0001838,151.4657068,0.027333469,19.46350508,430.9904274,150.0667,147.7133,-30.8248,5
AU_0001839,233.23213,0.171834773,18.77401988,456.0006842,25154.85,147.0535,-30.8557,5
AU_0001841,166.9864216,0.0417094,19.67286335,446.0371795,23.34936,147.2844,-31.3642,5
AU_0001899,542.5606753,0.837803737,18.007372,701.6225427,150.4997,151.7407528,-27.4706111,5
AU_0001910,506.7154353,0.734241733,17.98632534,661.7029762,586.1246,151.6908389,-27.84989444,5
AU_0001911,589.3660209,1.028366779,16.98144341,717.7664826,2718.94,151.7576111,-27.99005833,5
AU_0001926,340.0797809,0.209828086,21.31445205,411.9849991,24468.93,145.6866028,-28.116875,5
AU_0001947,322.9334817,0.380998874,18.81338716,573.5708517,390743.1,145.6023518,-30.26731301,5
AU_0001955,315.8946151,0.360763397,19.04195419,538.2634254,431960.9,144.4188,-30.9344,5
AU_0001972,98.89650726,0.566924,17.02200875,434.2141026,18.27889,120.0728772,-33.82964456,5
AU_0001973,140.472675,0.257982904,16.92406547,506.6700855,350.9373,121.9224859,-33.76459733,5
AU_0001994,103.0720885,0.30076065,15.70683751,683.6930256,156.4068,117.8829171,-34.93031439,5
AU_0002010,156.533155,0.836145058,15.81730799,808.5542735,78.03815,117.392868,-34.82756236,5
AU_0002022,46.63432862,0.355405748,15.81730794,881.2012821,36.94795,117.4659992,-34.94847244,5
AU_0002023,118.4086417,1.220016271,15.81730794,993.9367521,63.75197,117.3478174,-34.93254669,5
AU_0002079,200.864528,0.497864145,15.89115385,1034.338547,345.5358,116.0296289,-34.47500073,5
AU_0002125,316.0664104,0.32863533,16.36883007,357.1357129,5847.06,117.7324773,-33.40037797,5
AU_0002126,76.10417046,0.425991645,16.75731857,951.8975427,187.8947,115.2004259,-34.08873124,5
AU_0002127,75.07285289,0.323946539,16.70448773,1017.042949,56.4427,115.1532228,-34.08344092,5
AU_0002173,9.775048733,0.222247,16.91581215,732.1205128,6.761569,115.4903987,-33.60202397,5
AU_0002240,118.2146285,0.662180833,16.50714615,843.1860348,536.1326,115.7486479,-33.2537922,5
AU_0002246,18.56014838,0.180237,16.72585509,794.6641026,18.40733,115.7770005,-33.2241373,5
AU_0002247,255.3411402,0.480976459,15.99365579,724.68125,2989.603,115.7995824,-33.29921697,5
AU_0002338,29.68679168,0.090364815,17.68717961,877.1185897,103.2146,115.8290155,-32.52334634,5
AU_0002340,300.5945174,0.583046723,16.34289279,631.0031351,7068.087,115.8781,-32.6335,5
AU_0002348,291.1237816,0.48082006,16.28568378,909.2397436,44.4798,116.2175,-32.5483,5
AU_0002401,297.3223743,0.516269901,17.06467721,502.670217,1998.127,116.8356927,-32.11685388,5
AU_0002453,339.4668766,0.391458514,17.93943151,367.1748068,94880.32,116.0139846,-31.86270096,5
AU_0002456,173.9242721,0.819002057,17.52662933,915.4647198,294.6954,115.9787991,-32.07835523,5
AU_0002458,339.6408732,0.391387882,17.93943151,367.1748068,94868.87,116.0140509,-31.81771154,5
AU_0002521,255.633565,0.166139694,22.88244277,190.4218367,10222.71,114.2776243,-25.75630805,5
AU_0002531,483.7976421,0.238744226,23.19849244,235.2810339,34762.45,116.1680462,-24.65509706,2
AU_0002542,154.2739397,0.279174468,25.24332472,331.5684149,2222.476,115.5945187,-22.02260013,2
AU_0002551,699.382731,0.752093744,24.29574966,372.6775641,1483.437,119.234573,-22.8833548,2
AU_0002552,507.8342225,0.46261433,25.25791931,323.7683036,47794.38,116.1442815,-21.29235817,2
AU_0002581,280.5274337,0.468093656,26.96999237,692.2296717,79018.11,124.1630296,-18.10307012,2
AU_0002586,371.9844346,0.485831045,26.92639825,599.3999768,12421.99,126.2989299,-18.2588279,2
AU_0002621,180.0195315,1.49824761,27.79357191,870.8038889,852.6742,128.12026,-15.70169431,2
AU_0002668,328.6744439,0.423995367,25.0785787,427.4214947,5940.009,140.491938,-20.702842,2
AU_0002686,110.4727394,0.083485258,26.8502881,901.8438481,6340.052,142.0608222,-16.53256666,2
AU_0002720,50.58209076,0.123004,17.33012855,253.2012821,13.93495,140.5773158,-34.34318556,5
AU_0002721,205.0833981,0.309680391,19.36577552,349.1290526,384281.6,140.3582383,-34.18730839,5
AU_0002722,204.662417,0.309404005,19.37879993,344.7532323,385815.2,139.9310644,-34.0768496,5
AU_0002753,205.6047954,0.309871469,19.34176161,356.2470418,382809.9,140.6498,-34.2525,5
AU_0002755,268.7905318,1.206495205,15.67692321,522.2410256,202.4912,139.0285,-35.1338,5
AU_0002793,417.4663512,0.904187298,15.62158144,826.4370513,215.5462,138.7928,-35.0198,5
AU_0002823,405.8465495,0.720911847,16.07907977,457.3110806,799.6306,138.9737,-34.3568,5
AU_0002826,370.8053281,0.893199598,15.80353847,521.1823932,291.8035,138.9484,-34.5303,5
AU_0002881,153.2197521,1.057140003,27.74396358,927.7869872,899.0095,129.1943166,-15.40486369,2
BR_0000001,2138.960772,6.014553474,18.8634155,1405.959684,114366.7,-77.55,-4.47,6
BR_0000008,1286.53,2.71,21.67,2008.09,874000,-69.9447,-4.2347,11
BR_0000009,151.05,0.17,26.51,2460.91,16500,-72.8136,-5.1389,3
BR_0000011,135.62,0.16,26.43,2571.52,61400,-70.9056,-4.3408,3
BR_0000014,141.38,0.2,26.23,2543.63,36900,-70.2644,-4.5836,3
BR_0000015,1134.87,2.37,22,2058.83,1010000,-68.7628,-3.4397,11
BR_0000016,234.42,0.42,26.07,3037.15,106000,-69.6931,-2.9297,3
BR_0000018,1033.27,2.19,22.39,2111.62,1130000,-67.9356,-3.1017,11
BR_0000024,115.33,0.15,26.3,2610.95,64400,-67.4917,-3.3372,3
BR_0000025,309.16,0.25,25.2,1623.69,7690,-72.7158,-9.4097,2
BR_0000027,275.5973244,0.213156625,25.51668818,1686.984246,22316.15,-72.7411,-8.2672,2
BR_0000028,281.63,0.36,25.91,2138.7,1030,-73.6644,-7.4467,3
BR_0000030,255.35,0.21,25.6,1799.05,37800,-72.6603,-7.6333,2
BR_0000031,233.2966563,0.18675359,25.7770621,1862.74194,3439.883,-72.0547,-7.8492,3
BR_0000032,237.94,0.19,25.65,1864.68,56100,-71.6892,-7.0556,3
BR_0000033,256.4564586,0.223302245,25.97499745,1880.523411,2053.169,-71.4822,-7.9511,3
BR_0000035,223.19,0.19,25.77,1986.13,77300,-69.8811,-6.6844,3
BR_0000040,244.6,0.23,25.73,1957.36,49700,-70.0225,-7.4281,3
BR_0000041,222.01,0.2,25.74,2058.83,144000,-68.2461,-6.4403,3
BR_0000042,207.81,0.19,25.98,2210.15,164000,-66.8506,-4.8392,3
BR_0000044,259.76,0.56,25.9,2998.09,249000,-66.6092,-1.8211,3
BR_0000050,728.69,1.5,23.75,2204.92,1780000,-63.0278,-4.0578,7
BR_0000059,257.6,0.23,25.45,1874.26,63100,-68.5772,-9.0439,3
BR_0000061,285.76,0.23,25.22,1699.06,7020,-68.745,-11.0178,2
BR_0000062,277.08,0.25,25.3,1696.37,8270,-68.5061,-10.6514,2
BR_0000065,236.37,0.25,25.64,1723.37,23500,-67.8008,-9.975,2
BR_0000068,235.83,0.23,25.62,1865.73,105000,-67.375,-8.6533,3
BR_0000071,210.05,0.22,25.74,1994.48,154000,-66.9997,-7.7156,3
BR_0000076,143.1043265,0.180782299,26.49929702,1925.291851,17266.33,-65.8844,-8.7675,3
BR_0000079,174.2,0.18,26.04,2061.64,236000,-64.3858,-6.5389,3
BR_0000086,614.07,1.28,24.15,2188.67,2200000,-60.6094,-3.3106,7
BR_0000087,219.07,0.5,26.46,3124.61,74300,-66.8525,1.2153,3
BR_0000088,152.14,0.19,26.7,3370.97,4600,-68.6858,1.3392,3
BR_0000089,147.84,0.2,26.7,3411.87,23600,-67.5947,1.0744,3
BR_0000090,181.61,0.35,26.45,3113.73,124000,-67.3128,0.3717,3
BR_0000091,202.15,0.22,26.19,2942.3,40200,-69.1281,0.4769,3
BR_0000092,193.6,0.21,26.24,3011.98,44300,-68.5386,0.1303,3
BR_0000093,156.63,0.12,26.06,3255.15,1970,-69.785,0.2494,3
BR_0000096,174.9,0.29,26.36,2977.25,194000,-66.8022,-0.2006,3
BR_0000097,95.26,0.13,26.14,3263.84,13100,-67.0092,-0.2461,3
BR_0000099,151.46,0.36,26.38,2962.68,293000,-64.8289,-0.4819,3
BR_0000102,199.87,1.45,26.09,2521.81,6800,-63.9606,0.13,3
BR_0000103,194.1,0.96,26.18,2274.65,16900,-62.6219,0.8842,3
BR_0000109,476.22,1.12,25.08,2535.63,36900,-61.0367,3.4381,3
BR_0000111,406.36,1.01,25.23,2442.35,50200,-60.5711,3.2078,3
BR_0000112,184.06,0.55,27.16,1795.37,9860,-59.8156,3.3783,3
BR_0000118,754.26,2.01,23.2,2002.57,5780,-60.5289,4.1675,11
BR_0000123,381.5,0.88,25.78,2389.37,12200,-61.4406,2.8708,3
BR_0000124,290.48,0.7,26.04,2276.59,19800,-60.9178,2.4714,3
BR_0000125,339.56,0.92,25.08,2306.52,126000,-61.1236,1.8214,3
BR_0000130,499.47,1.06,24.34,2227.18,2930000,-59.6478,-3.0633,7
BR_0000132,90.11,0.31,27.73,2373.67,976,-59.7036,-2.6989,3
BR_0000133,473.76,0.8,25.52,1527.04,2990,-59.3539,-15.2153,2
BR_0000136,338.72,0.67,25.75,1465.03,54400,-61.05,-13.4858,2
BR_0000137,281.77,0.53,25.72,1408.6,110000,-62.8992,-12.8514,2
BR_0000141,844.6214006,3.371625388,22.02153582,1954.754946,7724.24,-64.7919,-16.8381,11
BR_0000142,1334.507823,2.609536823,19.93318049,1284.118447,153310.6,-64.9992,-14.8806,11
