no,ELE,SLP,TMP,PPT,AREA,LON,LAT,Cluster
CA_0001391,560.3,1.36,2.41,1484.06,1550,-71.87750244,46.85277939,1
CA_0001400,163.15,0.71,4.48,1341.69,355,-71.87471771,46.7091713,1
CA_0001401,327.69,1.52,3.53,1451.81,213,-71.63944244,46.86750031,1
CA_0001408,153.3138992,0.728563883,4.476282211,1285.368162,66.6254,-71.68888855,46.6958313,1
CA_0001415,295.07,1.5,3.71,1397.97,357,-71.31749725,46.81417084,1
CA_0001418,789.68,1.7,1.15,1594.06,9.170000076,-71.13777924,47.27082825,1
CA_0001428,494.98,2.22,1.36,1132.52,865,-70.51055908,47.44749832,1
CA_0001431,676.95,1.83,1.29,1241.85,1700,-70.21694183,47.69417191,1
CA_0001432,305.76,0.79,3.39,1097.04,1050,-69.52056122,47.82249832,1
CA_0001442,335.46,0.68,3.7,1101.13,795,-69.95806122,47.38111115,1
CA_0001450,394.32,1.06,4.03,1207.47,821,-70.75694275,46.82056046,1
CA_0001451,384.8,1.04,4.25,1213.97,1160,-71.06889343,46.6911087,1
CA_0001452,112.7233615,0.564762217,4.663105586,1192.308262,66.7821,-70.96053314,46.70753098,12
CA_0001461,542.3,1.3,4.03,1293.25,775,-70.88056183,45.57389069,1
CA_0001469,370.56,0.62,3.82,1181.95,691,-70.6397171,46.16416931,1
CA_0001486,342.26,1.27,4.7,1302.97,919,-71.45139313,46.30611038,1
CA_0001487,263.84,0.89,4.97,1221.5,2330,-72.28388977,46.19472122,12
CA_0001496,291.89,0.77,3.02,1100.41,1610,-68.55610657,48.41333008,1
CA_0001502,273.65,1.04,2.92,1037.43,492,-68.16221619,48.51750183,1
CA_0001508,206.29,0.8,3.21,1070.88,208,-67.66610718,48.76667023,1
CA_0001510,407.13,2.56,2.06,1198.95,721,-66.67221832,49.05638885,1
CA_0001517,560.2,3.39,1.96,1227.66,774,-66.48667145,49.0588913,10
CA_0001522,212.23,1.82,3.05,1109.35,59.79999924,-64.43582916,48.97499847,1
CA_0001542,440.16,0.41,-0.18,977.72,11100,-73.35666656,49.27639008,1
CA_0001543,433.87,0.37,0.17,977.05,4330,-73.70832825,49.25667191,1
CA_0001569,644.83,0.97,1.18,1352.94,1110,-71.64527893,48.18222046,1
CA_0001570,508.19,1.97,0.98,1189.39,746,-70.97416687,48.4888916,1
CA_0001572,589.72,1.41,1.54,1152.39,1100,-69.90778351,48.26721954,1
CA_0001573,475.27,1.36,1.52,1240.23,572,-70.86778259,48.27471924,1
CA_0001574,496.52,2.06,2.06,1099.39,736,-70.05056,48.18611145,1
CA_0001594,538.78,0.86,-0.35,1040.02,16100,-69.22721863,49.17556,1
CA_0001601,450.02,1.12,1.8,1125.38,767,-69.47222137,48.37083054,1
CA_0001605,551.64,1.08,-1.63,994.38,45600,-68.34750366,49.33499908,1
CA_0001606,582.23,0.85,-2.48,962.49,29300,-68.72499847,50.6444397,1
CA_0001608,570.17,0.91,-1.67,981.98,17200,-68.90778351,49.7069397,1
CA_0001609,565.72,0.95,-1.56,985.08,17900,-68.72083282,49.55833054,1
CA_0001615,577.72,1.12,-2.25,917.47,19000,-66.1902771,50.35028076,1
CA_0001626,610.26,1.28,-2.33,902.11,7230,-64.58083344,50.68582916,1
CA_0001635,439.78,0.96,-1.32,1012.4,15600,-61.7136116,50.42721939,1
CA_0001636,196.45,0.66,0.62,1108.51,2950,-59.99082947,50.38360977,1
CA_0001641,463.52,0.52,-2.23,987.53,4540,-61.31694031,52.22980881,1
CA_0001651,104.03,0.8,1.9,1084.76,306,-56.79222107,51.13832855,1
CA_0001652,135.88,1.1,1.7,1215.29,33.59999847,-55.64125061,51.44921875,1
CA_0001655,100.13,0.66,1.52,1083.22,200,-56.11169052,50.9244194,1
CA_0001656,348.63,2.51,2.25,1173.13,95.69999695,-57.57752991,50.16231155,1
CA_0001658,482.31,1.01,1.64,1204.61,627,-57.15942001,49.81066895,1
CA_0001661,269.32,1.06,3.48,1380.38,640,-58.36264038,48.57582855,1
CA_0001671,213.62,0.92,2.92,1097.49,20.39999962,-57.10400009,49.26667023,1
CA_0001674,304.37,1.36,2.92,1192.97,7860,-57.76057816,48.98286057,1
CA_0001676,225.6,2.3,3.54,1306.6,17,-58.10519028,49.05831146,1
CA_0001677,512.88,1.05,1.74,1260.49,471,-57.29449844,49.6182518,1
CA_0001679,448.8256226,2.10613,3.435042745,1318.105128,11.6791,-57.78382874,48.80664063,1
CA_0001682,169.06,0.51,2.56,1105.87,93.19999695,-56.22214127,49.8935318,1
CA_0001683,255.9823679,0.831988038,2.50940176,1049.965919,163.0301,-56.6151886,49.36724854,1
CA_0001685,430.46,0.54,3.15,1563.52,469,-57.82814026,48.23981094,1
CA_0001690,219.36,0.7,4.24,1200.93,378,-55.28667068,49.05332947,1
CA_0001691,232.8,0.38,4.01,1175.78,508,-55.82056046,48.88832855,1
CA_0001695,220.73,0.57,4.22,1245.42,773,-55.52869034,48.8266716,1
CA_0001698,332.8376089,0.712518638,3.281163323,1312.96693,7334.881,-56.26966858,48.84439087,1
