no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_0,2015,297.6396513,4.634443422,263.3358546,37.05036122,2520.460925,3.68367074,0.122156488,280.1947603,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2016,297.7423759,4.713019186,264.5085415,36.2778973,2529.777587,3.69712913,0.123432773,342.470196,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2017,297.631101,4.654454455,264.9577189,26.14490788,2501.345868,3.691859577,0.124046813,306.8930892,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2018,297.7111957,4.681017025,263.14101,35.51967061,2527.706328,3.697113755,0.121623049,344.2876815,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2019,297.4384352,4.74060189,265.3655235,22.19900247,2496.558688,3.696144682,0.122359841,545.3003712,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2020,297.7582479,4.731318155,263.7710147,24.11687455,2536.610143,3.684660576,0.123425556,522.9545717,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2021,297.5164693,4.752976987,264.3290075,33.14184318,2508.260068,3.684774588,0.122899383,533.9607623,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2022,297.8192849,4.718453846,263.3774439,28.22631616,2544.686857,3.685872523,0.123678152,594.2173849,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2023,297.8393954,4.687735936,263.3296865,30.53441515,2527.7343,3.683673528,0.123212847,756.7507544,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2024,297.8639836,4.742915731,264.6139214,37.80010594,2535.867917,3.701453862,0.12398284,782.8118949,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2025,298.4193141,4.679440174,262.6166193,35.31238289,2554.512961,3.6998963,0.125869229,813.498604,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2026,297.6036633,4.770083255,262.825233,23.25741324,2531.388678,3.695987709,0.125811325,863.929923,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2027,298.1887569,4.66241489,263.5165974,23.86221531,2549.055368,3.686064824,0.124927254,996.7582639,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2028,298.4283572,4.706478091,263.5748867,22.56988258,2573.491655,3.685081083,0.122934957,1063.819901,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2029,298.1292636,4.718557142,262.135129,37.07873075,2560.128863,3.688291353,0.122600287,1122.536289,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2030,298.1600597,4.671270211,263.2221008,37.26116051,2567.385848,3.70630813,0.123613802,1162.685434,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2031,298.0767949,4.725755266,260.9639732,35.04904694,2571.457238,3.707956068,0.125895652,1124.114883,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2032,298.2415155,4.688443051,260.7908516,38.76073551,2564.571981,3.704966692,0.125927746,1243.404095,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2033,298.4574452,4.678587795,263.4404655,25.07991718,2587.890394,3.704382727,0.12644877,1216.872865,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2034,298.554541,4.734431844,263.2956738,28.92632074,2589.328679,3.699938915,0.125549196,1223.368786,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2035,298.6612577,4.630524717,261.9509739,30.6822147,2617.805663,3.705427536,0.126158369,1332.318603,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2036,298.7041942,4.641096249,261.8001327,37.55437256,2608.579001,3.722092396,0.123415191,1781.378533,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2037,298.4237661,4.79081331,261.5953152,26.23464484,2613.632927,3.715140012,0.123849524,1503.861851,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2038,298.7868644,4.732237593,261.8797469,28.48229914,2605.560347,3.706746738,0.125941961,1549.058327,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2039,298.7014373,4.742491371,262.3494835,21.83395041,2631.797262,3.699695513,0.124092564,1616.802301,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2040,298.5238341,4.71876039,261.5404932,24.3214403,2608.711427,3.697084624,0.124469922,1554.804901,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2041,298.8081395,4.738431375,261.3648912,28.18398177,2631.190018,3.701171347,0.126846606,1579.468812,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2042,298.7978108,4.725804872,262.7602443,19.76432456,2605.287098,3.696364137,0.125132681,1635.713791,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2043,299.0098552,4.619148741,262.6544214,26.57350395,2615.308839,3.690793469,0.124170078,1878.369517,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2044,298.9320372,4.749216203,261.6539465,33.99154456,2643.235762,3.698862806,0.124012835,1754.055277,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2045,298.895066,4.70022986,259.9510675,33.96913469,2643.205441,3.701282529,0.126061633,1677.946568,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2046,299.1616327,4.740441188,261.5436038,20.51131921,2645.254905,3.693254952,0.124428021,1696.056047,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2047,299.1103666,4.667822569,261.830283,28.67526979,2628.113111,3.696479656,0.126971929,1659.36123,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2048,298.8237717,4.695486724,261.1871304,38.66880292,2651.171825,3.701974746,0.125794366,1774.154728,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2049,299.4603666,4.721398539,262.5956087,23.49799866,2694.614744,3.709447497,0.126294464,1600.185109,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2050,299.1547204,4.685305546,260.9548785,40.38634648,2684.372415,3.721161254,0.124572939,1636.826865,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2051,299.4042845,4.70727755,262.924526,21.02530757,2695.714252,3.711403085,0.12636027,1810.757746,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2052,299.5244153,4.685163798,259.9188335,33.73886019,2684.928714,3.710495601,0.125682292,2001.200557,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2053,299.3195176,4.763300376,260.4577472,27.61696019,2699.144202,3.704361218,0.125901004,2014.154616,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2054,299.7020698,4.710426017,261.12908,28.24832813,2698.692072,3.702381569,0.126771612,1976.018568,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2055,299.7792037,4.673567249,259.2681029,31.21480453,2695.592916,3.70715013,0.130101765,2072.260168,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2056,299.6767747,4.704743334,259.6787031,41.78512977,2687.384125,3.720478765,0.12842043,2316.749048,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2057,299.3997584,4.709522387,259.5707954,40.32031749,2689.020937,3.718156711,0.125977888,2135.561147,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2058,299.8544137,4.663889214,259.7473821,27.43854246,2736.698038,3.714596666,0.129453831,2255.608368,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
element_0,2059,299.8804028,4.765731059,259.7260741,29.41252646,2742.087981,3.70502833,0.128482247,2376.720872,376.1755619,1.489434191,45567,1.675529153,24.42679253,33.5677288,26.92855941,17.06101608,45.20667267,25.11114883,2
