Area,LAT,CTI,Slope,Elevation,River,LAI,Speed,Srad,SW,Clay,Silt,Sand,CO2,n
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.216054108,5.374811649,192.469928,27.52322998,15.52816391,27.14126587,56.88541794,209.1786652,1.00303149
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.214929108,5.443586349,192.7233612,25.93805504,15.52816391,27.14126587,56.88541794,210.06091,0.973153036
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.211905048,5.490748405,193.2967102,25.56443825,15.52816391,27.14126587,56.88541794,210.9373047,0.984585571
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.211425705,5.473297596,193.1965546,26.54972763,15.52816391,27.14126587,56.88541794,213.534671,1.186614101
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.210384332,5.501832485,192.2397797,28.28731499,15.52816391,27.14126587,56.88541794,221.2934875,1.158476075
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.209966611,5.507044792,191.596463,29.51860008,15.52816391,27.14126587,56.88541794,227.9117004,1.230819355
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.2093172,5.511544228,192.8183899,29.69507065,15.52816391,27.14126587,56.88541794,235.1456299,1.234845697
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.211452115,5.393712044,194.409613,27.85552826,15.52816391,27.14126587,56.88541794,247.4576843,1.341447275
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.211619778,5.494202137,193.3900726,27.23631783,15.52816391,27.14126587,56.88541794,257.5633759,1.143263185
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.21341561,5.281095028,192.6573212,26.19990158,15.52816391,27.14126587,56.88541794,268.8661652,1.19193654
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.213761969,5.354912758,191.3697083,25.4293026,15.52816391,27.14126587,56.88541794,277.9448578,1.105905409
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.214859561,5.477374554,190.8492981,27.15346947,15.52816391,27.14126587,56.88541794,284.4241333,1.035618593
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.214850583,5.39895153,188.9068115,28.93413429,15.52816391,27.14126587,56.88541794,279.4435516,1.004339793
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.214600583,5.514828205,189.8441895,29.2028923,15.52816391,27.14126587,56.88541794,270.1003845,1.026333183
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.212524231,5.480563641,190.9726868,29.30374756,15.52816391,27.14126587,56.88541794,255.2059296,1.013544629
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.21092793,5.358360767,190.3226196,29.19141579,15.52816391,27.14126587,56.88541794,246.1252167,1.077094897
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.208404691,5.451034546,189.3064453,28.67954712,15.52816391,27.14126587,56.88541794,238.4472717,1.048046831
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.207751935,5.47276926,190.0117737,28.07627335,15.52816391,27.14126587,56.88541794,237.1346588,1.0428312
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.206005103,5.44566679,190.168161,26.7956089,15.52816391,27.14126587,56.88541794,245.1690063,1.140672261
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.207128876,5.313798904,188.2417725,27.6361969,15.52816391,27.14126587,56.88541794,259.0272064,1.075966788
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.206679053,5.483697891,190.9117249,27.53638268,15.52816391,27.14126587,56.88541794,267.0304169,1.025075622
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.203492139,5.453392982,191.9106842,26.48596382,15.52816391,27.14126587,56.88541794,276.225061,1.118881802
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.200599707,5.419163704,191.9268677,25.97107277,15.52816391,27.14126587,56.88541794,285.3935303,1.232008009
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.199788971,5.449814796,191.351889,25.85129089,15.52816391,27.14126587,56.88541794,321.220636,1.233655146
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.20002113,5.395830631,191.5441986,25.36755486,15.52816391,27.14126587,56.88541794,347.400293,1.382145619
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.200215085,5.447960377,189.641037,25.16934662,15.52816391,27.14126587,56.88541794,372.761261,1.456553614
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.200780405,5.381124496,187.6588806,24.79561043,15.52816391,27.14126587,56.88541794,394.2480225,1.316732728
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.204082285,5.307388306,186.0812256,27.19343681,15.52816391,27.14126587,56.88541794,417.7184143,1.233209412
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.208401294,5.427717686,187.1301941,27.48335495,15.52816391,27.14126587,56.88541794,426.2968445,1.247018013
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.204309332,4.844988823,187.0740082,25.85163879,15.52816391,27.14126587,56.88541794,433.6568542,1.253198708
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.201329813,5.319171906,188.3464661,25.14030457,15.52816391,27.14126587,56.88541794,439.4914917,1.28268509
2764.426,34.6771,1.32799551,6.58930989,3087.711903,23.05821195,0.197104401,5.495697021,190.3903473,24.35509186,15.52816391,27.14126587,56.88541794,435.2440552,1.308322313
277.7157,48.7604,1.350084643,1.455045437,704.0591155,19.69389216,2.255700635,2.247999907,125.9056152,44.46876221,10.71875,21.2991066,66.19642639,17251.02227,3.657121674
277.7157,48.7604,1.350084643,1.455045437,704.0591155,19.69389216,2.280957129,2.346095085,126.401329,43.41438141,10.71875,21.2991066,66.19642639,16927.68105,3.344315628
277.7157,48.7604,1.350084643,1.455045437,704.0591155,19.69389216,2.279526221,2.241857052,126.2535248,44.6910965,10.71875,21.2991066,66.19642639,16739.73145,3.408300947
277.7157,48.7604,1.350084643,1.455045437,704.0591155,19.69389216,2.286776172,2.532547474,128.9404755,42.65209579,10.71875,21.2991066,66.19642639,16477.21387,2.974445015
277.7157,48.7604,1.350084643,1.455045437,704.0591155,19.69389216,2.274369043,2.618095398,129.3384735,42.8455246,10.71875,21.2991066,66.19642639,16405.75957,3.069545604
277.7157,48.7604,1.350084643,1.455045437,704.0591155,19.69389216,2.267076758,2.485190392,131.1667099,39.78933487,10.71875,21.2991066,66.19642639,16587.65723,2.493238015
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.2207625,4.112152576,142.5520844,19.21694374,11.96875,18.41935539,59.42708206,5482.700293,3.432165511
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.22158125,4.201527119,142.4588867,19.39041595,11.96875,18.41935539,59.42708206,5493.321875,3.437395933
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.2210646,4.160069466,142.4002777,19.30888786,11.96875,18.41935539,59.42708206,5565.70332,3.123416648
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.206300024,4.22201395,143.4440247,19.23152695,11.96875,18.41935539,59.42708206,5570.462695,2.863604558
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.200100024,4.359722137,143.6655518,19.16444397,11.96875,18.41935539,59.42708206,5568.092188,2.751752906
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.17300835,4.31034708,144.7897186,19.11277695,11.96875,18.41935539,59.42708206,5573.432813,2.75261509
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.164887524,4.349930286,143.7154144,18.73666611,11.96875,18.41935539,59.42708206,5576.362891,2.524876824
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.154431274,4.233055592,142.2163849,18.52499962,11.96875,18.41935539,59.42708206,5529.996484,2.564091346
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.16230625,4.264305592,142.2524994,18.37611084,11.96875,18.41935539,59.42708206,5475.076855,2.50320565
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.1597104,4.361111164,141.8994446,18.36916656,11.96875,18.41935539,59.42708206,5523.674707,2.473395002
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.172312476,4.286458492,139.7215271,18.49805527,11.96875,18.41935539,59.42708206,5577.539551,2.467601732
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.17466665,4.332082748,140.3813904,18.97819366,11.96875,18.41935539,59.42708206,5651.649805,2.891407351
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.150768726,4.328055859,141.6411102,19.39666595,11.96875,18.41935539,59.42708206,5696.689941,2.799686983
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.13955625,4.245555401,140.4568054,19.60791588,11.96875,18.41935539,59.42708206,5864.728711,3.237947976
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.135379199,4.213471889,143.9402771,19.50638771,11.96875,18.41935539,59.42708206,5981.339453,3.42205429
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.16094585,4.239860535,145.7056946,19.50638771,11.96875,18.41935539,59.42708206,6135.583301,3.502976366
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.1926,4.206249714,146.3954163,19.44708252,11.96875,18.41935539,59.42708206,6312.900879,3.422263032
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.2548375,4.29611063,147.2938904,19.32458229,11.96875,18.41935539,59.42708206,6461.471094,3.346829652
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.299252075,4.368055344,149.1402802,19.30152664,11.96875,18.41935539,59.42708206,6528.580371,3.151028129
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.321264575,4.28465271,145.6079193,19.43902664,11.96875,18.41935539,59.42708206,6570.202344,3.004910156
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.3129146,4.323541641,145.2384735,19.41763802,11.96875,18.41935539,59.42708206,6517.89209,3.021325742
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.298512549,4.279444218,143.2190277,19.47694321,11.96875,18.41935539,59.42708206,6512.950098,3.039625298
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.312893799,4.211874485,143.734726,19.49527664,11.96875,18.41935539,59.42708206,6488.083691,3.184391004
78.3358,47.2312,-0.139480315,10.26550381,2347.581379,20.6961978,1.301310474,4.300763607,142.8723602,19.39819336,11.96875,18.41935539,59.42708206,6452.330664,3.510891485
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.923472241,3.329860926,132.0052826,25.96472321,18.33333397,42.59999847,34.125,63584.08906,4.326912834
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.93208335,3.304166794,131.7944489,25.92027893,18.33333397,42.59999847,34.125,69799.10391,4.032929956
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.930172253,3.380971909,133.2050018,25.78333435,18.33333397,42.59999847,34.125,75264.51172,2.959951624
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.930647253,3.486666679,133.2013885,25.65694504,18.33333397,42.59999847,34.125,80796.86172,2.932795818
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.939941687,3.445972204,134.710556,25.38222275,18.33333397,42.59999847,34.125,87175.86406,2.690239201
